task,th,tr,tc,successor
1,460,920,100000,"[3, 4, 5, 6]"
2,279,100000,100000,"[5, 6]"
3,254,508,100000,[7]
4,296,592,207,[8]
5,335,100000,234,"[12, 16]"
6,778,100000,100000,[9]
7,278,556,100000,[10]
8,397,100000,100000,[11]
9,452,100000,316,"[11, 12]"
10,778,100000,100000,[14]
11,661,100000,100000,"[13, 15, 16]"
12,451,100000,100000,"[15, 18]"
13,569,100000,398,[17]
14,418,836,100000,[18]
15,527,1054,100000,"[19, 20]"
16,513,100000,100000,"[19, 20]"
17,602,1204,421,[]
18,431,862,302,[]
19,509,100000,356,[]
20,496,100000,347,[]
