task,th,tr,tc,successor
1,367,734,257,"[3, 4, 5, 6]"
2,693,1386,100000,"[4, 5]"
3,437,100000,100000,[7]
4,436,100000,100000,"[8, 9]"
5,280,100000,196,"[8, 9]"
6,474,100000,100000,"[17, 19]"
7,549,100000,100000,[10]
8,459,918,321,"[11, 12, 13, 17]"
9,520,100000,364,"[13, 17]"
10,244,100000,171,[17]
11,595,1190,416,[15]
12,619,1238,433,[16]
13,561,1122,100000,"[14, 19]"
14,406,100000,100000,[18]
15,397,100000,278,[19]
16,733,1466,100000,[19]
17,677,100000,100000,[20]
18,547,100000,100000,[]
19,572,100000,100000,[]
20,491,982,100000,[]
