task,th,tr,tc,successor
1,128,256,100000,"[4, 5]"
2,122,100000,85,"[6, 7]"
3,72,144,100000,"[6, 7]"
4,536,100000,100000,[9]
5,151,302,100000,[10]
6,203,100000,100000,"[8, 11, 12]"
7,28,100000,100000,[12]
8,307,614,215,[13]
9,194,388,100000,[15]
10,229,100000,100000,[15]
11,170,340,100000,[14]
12,222,100000,100000,[15]
13,258,100000,181,[16]
14,86,100000,60,[17]
15,119,100000,100000,"[17, 18, 19]"
16,201,402,141,[19]
17,373,100000,100000,[20]
18,95,190,66,[]
19,302,100000,211,[]
20,94,100000,66,[]
