task,th,tr,tc,successor
1,611,100000,100000,"[8, 16]"
2,303,100000,212,[6]
3,244,100000,100000,"[5, 7]"
4,80,100000,100000,[7]
5,171,342,100000,[15]
6,231,100000,162,[8]
7,372,100000,100000,"[9, 10]"
8,24,100000,17,[12]
9,96,100000,67,"[12, 16]"
10,283,100000,198,"[11, 13]"
11,80,160,56,[]
12,275,550,100000,"[14, 15, 20]"
13,210,420,100000,[16]
14,526,1052,100000,[18]
15,375,100000,100000,"[17, 19]"
16,72,144,100000,[20]
17,37,74,100000,[]
18,54,100000,38,[]
19,59,118,41,[]
20,372,100000,100000,[]
