task,th,tr,tc,successor
1,453,100000,100000,[9]
2,344,100000,241,"[5, 6, 8]"
3,142,284,100000,"[4, 5, 7]"
4,174,100000,122,[9]
5,461,922,100000,[9]
6,362,100000,253,[9]
7,84,100000,100000,"[10, 17, 19]"
8,151,100000,106,"[11, 19]"
9,31,62,100000,"[12, 13, 14, 15]"
10,231,100000,162,"[16, 20]"
11,249,498,100000,[16]
12,24,48,17,[16]
13,298,100000,209,"[17, 19, 20]"
14,51,100000,100000,[]
15,224,448,100000,[18]
16,177,100000,100000,[]
17,311,100000,100000,[]
18,66,100000,100000,[20]
19,219,438,153,[]
20,179,358,100000,[]
