task,th,tr,tc,successor
1,405,100000,100000,[14]
2,529,100000,100000,"[5, 10]"
3,373,746,261,[6]
4,342,684,239,[]
5,613,1226,429,"[7, 8, 9, 11]"
6,409,100000,100000,"[8, 10, 13]"
7,718,100000,100000,[14]
8,666,100000,466,[14]
9,461,100000,100000,"[13, 14]"
10,488,976,100000,"[11, 12]"
11,114,100000,100000,[14]
12,417,100000,100000,[]
13,639,1278,100000,[15]
14,590,100000,413,"[16, 17, 18, 19, 20]"
15,449,100000,314,[]
16,379,758,100000,[]
17,373,746,261,[]
18,694,100000,100000,[]
19,569,100000,100000,[]
20,515,1030,360,[]
