task,th,tr,tc,successor
1,91,182,100000,[4]
2,185,370,100000,[5]
3,195,390,136,"[6, 7, 8]"
4,134,100000,94,[9]
5,165,330,100000,[10]
6,207,414,100000,[11]
7,159,100000,111,[12]
8,45,100000,100000,[12]
9,26,100000,100000,[13]
10,110,220,100000,[14]
11,176,352,123,[14]
12,83,166,58,[14]
13,129,100000,100000,[15]
14,169,100000,100000,"[15, 16, 17]"
15,123,100000,100000,[19]
16,28,100000,20,"[18, 19, 20]"
17,223,100000,156,"[19, 20]"
18,262,100000,183,[]
19,222,100000,100000,[]
20,176,100000,100000,[]
