task,th,tr,tc,successor
1,76,152,100000,"[3, 5]"
2,142,284,100000,"[4, 5]"
3,155,100000,100000,[6]
4,86,100000,100000,[7]
5,290,580,203,"[8, 9, 10, 11]"
6,70,140,100000,[12]
7,70,100000,100000,[13]
8,122,100000,85,"[12, 18]"
9,135,100000,100000,[16]
10,132,264,92,[13]
11,35,70,24,[13]
12,45,100000,100000,[]
13,86,100000,60,"[14, 15, 16]"
14,206,412,144,"[17, 18, 19, 20]"
15,303,100000,100000,[18]
16,171,100000,100000,[]
17,120,100000,84,[]
18,245,490,100000,[]
19,173,100000,100000,[]
20,323,100000,226,[]
