task,th,tr,tc,successor
1,244,488,100000,"[6, 7]"
2,57,100000,100000,"[5, 7, 10, 15]"
3,47,100000,100000,"[5, 6]"
4,129,258,100000,"[5, 9]"
5,179,100000,100000,"[8, 11, 16]"
6,99,198,100000,"[9, 10]"
7,195,100000,136,"[8, 14, 18]"
8,156,312,109,[17]
9,156,100000,109,"[14, 15, 17]"
10,97,194,68,[19]
11,89,178,100000,"[12, 13]"
12,41,100000,100000,[]
13,112,100000,100000,[17]
14,149,100000,100000,[16]
15,291,582,100000,"[16, 18]"
16,29,100000,20,[20]
17,129,100000,100000,[]
18,195,100000,136,[19]
19,185,100000,130,[]
20,159,318,111,[]
