task,th,tr,tc,successor
1,683,1366,100000,"[3, 5, 6]"
2,461,100000,100000,[4]
3,409,100000,286,"[8, 9]"
4,478,100000,100000,"[7, 11]"
5,492,100000,344,"[7, 15]"
6,513,1026,359,[8]
7,468,936,100000,[12]
8,477,100000,100000,"[10, 11]"
9,461,922,100000,"[18, 20]"
10,507,100000,100000,"[14, 15]"
11,441,100000,309,"[13, 16, 18, 19]"
12,331,100000,232,"[16, 17, 18, 20]"
13,615,1230,430,[]
14,583,100000,100000,"[19, 20]"
15,492,100000,100000,"[19, 20]"
16,261,100000,100000,[]
17,629,1258,100000,[19]
18,488,100000,342,[]
19,524,1048,100000,[]
20,538,1076,377,[]
