task,th,tr,tc,successor
1,229,100000,160,"[4, 6, 7]"
2,212,424,100000,"[5, 6, 7]"
3,64,128,100000,[7]
4,61,122,100000,[8]
5,104,208,100000,[9]
6,281,100000,197,[10]
7,279,558,100000,[10]
8,164,100000,115,[11]
9,67,134,100000,[12]
10,82,100000,100000,"[13, 14]"
11,63,126,100000,[14]
12,186,100000,130,[14]
13,37,74,26,"[15, 16, 17, 19]"
14,204,100000,100000,"[19, 20]"
15,237,100000,100000,[18]
16,206,100000,144,[20]
17,76,100000,53,[]
18,137,100000,96,[]
19,60,100000,100000,[]
20,184,100000,100000,[]
