task,th,tr,tc,successor
1,40,100000,28,"[5, 6]"
2,473,100000,331,[8]
3,189,100000,132,"[6, 7, 8]"
4,503,1006,352,[17]
5,259,518,100000,[11]
6,264,100000,100000,"[10, 11]"
7,115,100000,80,[13]
8,213,426,100000,[9]
9,355,100000,100000,[13]
10,166,100000,116,[16]
11,253,100000,177,"[12, 14]"
12,205,410,100000,[15]
13,284,100000,100000,[16]
14,116,232,100000,"[15, 16]"
15,242,484,100000,[20]
16,79,100000,100000,"[17, 18, 19]"
17,326,652,100000,[]
18,48,100000,100000,[]
19,158,100000,111,[]
20,215,430,100000,[]
