task,th,tr,tc,successor
1,101,100000,100000,[5]
2,195,390,100000,[6]
3,213,426,149,"[7, 8]"
4,204,100000,143,"[7, 8]"
5,54,108,100000,[9]
6,239,100000,100000,[9]
7,170,100000,100000,"[9, 10]"
8,70,140,100000,"[9, 10]"
9,96,192,67,"[11, 12]"
10,145,100000,100000,"[12, 13]"
11,117,100000,82,[15]
12,140,100000,98,"[14, 16, 17]"
13,217,100000,100000,"[19, 20]"
14,116,232,81,[18]
15,212,424,148,[19]
16,45,100000,100000,[20]
17,91,100000,64,[]
18,164,100000,100000,[]
19,173,346,100000,[]
20,46,100000,100000,[]
