task,th,tr,tc,successor
1,473,100000,331,"[8, 9]"
2,713,1426,499,[16]
3,427,100000,100000,"[6, 7]"
4,487,974,341,"[6, 8]"
5,499,998,100000,[7]
6,625,100000,100000,[12]
7,602,1204,100000,"[9, 10, 11]"
8,699,1398,100000,[11]
9,516,100000,100000,"[14, 15]"
10,541,100000,379,"[14, 15]"
11,603,100000,422,[13]
12,498,996,100000,"[13, 18, 20]"
13,365,100000,100000,[19]
14,393,100000,275,[17]
15,280,100000,100000,"[16, 18]"
16,470,100000,100000,[20]
17,496,992,347,"[18, 19]"
18,292,100000,100000,[]
19,336,672,100000,[]
20,673,100000,471,[]
