task,th,tr,tc,successor
1,188,376,100000,[4]
2,254,100000,178,"[5, 6]"
3,523,100000,100000,"[5, 6]"
4,118,236,83,[8]
5,203,406,142,"[7, 8]"
6,144,100000,100000,[12]
7,228,456,100000,[10]
8,147,100000,100000,"[9, 11, 12]"
9,77,154,100000,[14]
10,253,506,100000,[13]
11,84,168,100000,"[15, 17]"
12,589,100000,100000,"[15, 16]"
13,62,100000,43,[18]
14,33,66,23,[19]
15,227,100000,100000,[20]
16,32,100000,100000,[19]
17,508,100000,356,[]
18,250,100000,100000,[]
19,235,100000,164,[]
20,247,100000,173,[]
