task,th,tr,tc,successor
1,302,100000,100000,[13]
2,145,100000,100000,"[3, 4]"
3,329,100000,230,[7]
4,40,80,28,"[5, 6, 8]"
5,176,352,123,[10]
6,27,100000,100000,"[10, 12]"
7,519,100000,363,"[9, 11, 14]"
8,270,100000,189,[12]
9,178,356,100000,[13]
10,209,418,100000,[13]
11,87,100000,100000,[13]
12,352,100000,246,"[14, 15]"
13,196,100000,100000,"[16, 17, 18, 19]"
14,82,100000,100000,[20]
15,136,272,100000,[]
16,280,100000,196,[]
17,343,100000,100000,[]
18,47,94,100000,[]
19,419,838,100000,[]
20,89,178,62,[]
