task,th,tr,tc,successor
1,229,458,160,[4]
2,29,100000,100000,"[4, 5]"
3,36,72,100000,[7]
4,244,100000,171,[6]
5,107,100000,100000,[6]
6,264,100000,185,"[7, 8]"
7,88,176,62,"[9, 10, 11]"
8,581,100000,100000,"[10, 12, 16]"
9,132,264,100000,[13]
10,499,998,349,"[19, 20]"
11,216,100000,100000,[13]
12,126,100000,88,"[17, 18]"
13,283,566,100000,"[14, 15, 16]"
14,123,100000,100000,"[17, 18]"
15,267,100000,100000,"[17, 18]"
16,187,100000,131,"[17, 18]"
17,567,1134,397,"[19, 20]"
18,418,836,100000,"[19, 20]"
19,220,100000,100000,[]
20,165,100000,100000,[]
