task,th,tr,tc,successor
1,503,100000,352,"[4, 6, 9]"
2,462,100000,323,"[5, 7, 8]"
3,396,792,277,"[7, 8]"
4,571,1142,100000,[10]
5,555,1110,100000,[]
6,495,100000,100000,[]
7,354,100000,100000,"[9, 10]"
8,476,100000,333,[14]
9,381,762,100000,"[11, 15, 19]"
10,572,1144,400,[12]
11,487,974,341,[14]
12,437,100000,100000,"[13, 15]"
13,645,100000,100000,"[16, 18, 19]"
14,656,100000,100000,[20]
15,380,100000,266,"[16, 17, 20]"
16,546,1092,100000,[]
17,266,100000,100000,[]
18,460,920,100000,[]
19,520,100000,100000,[]
20,455,100000,318,[]
