task,th,tr,tc,successor
1,223,100000,156,[4]
2,238,476,100000,[5]
3,400,100000,280,[8]
4,200,100000,140,[6]
5,531,1062,100000,[6]
6,211,100000,100000,"[7, 8]"
7,33,100000,100000,"[9, 10]"
8,249,498,174,"[9, 10]"
9,156,312,109,[13]
10,463,100000,100000,"[11, 12, 13]"
11,27,100000,19,[14]
12,605,100000,100000,[14]
13,308,616,100000,[14]
14,131,100000,100000,"[15, 16, 17]"
15,449,100000,100000,"[18, 20]"
16,53,106,37,"[19, 20]"
17,473,946,100000,[]
18,306,100000,214,[]
19,125,100000,100000,[]
20,123,246,100000,[]
