task,th,tr,tc,successor
1,213,100000,149,"[2, 3]"
2,258,516,100000,"[5, 6]"
3,146,100000,100000,"[4, 5]"
4,75,150,100000,"[7, 8, 9]"
5,128,256,100000,"[7, 8, 9]"
6,105,100000,74,"[7, 8]"
7,113,226,100000,"[10, 11]"
8,224,100000,100000,"[10, 11]"
9,58,100000,100000,"[10, 11]"
10,31,62,22,[]
11,220,440,100000,"[12, 13]"
12,124,248,87,"[15, 16]"
13,37,100000,100000,[14]
14,120,240,84,[17]
15,178,100000,125,[19]
16,259,100000,181,[18]
17,152,100000,100000,"[18, 19, 20]"
18,212,100000,148,[]
19,104,100000,100000,[]
20,130,100000,100000,[]
