task,th,tr,tc,successor
1,500,1000,100000,[4]
2,442,100000,100000,[7]
3,454,908,100000,"[5, 6, 8]"
4,493,100000,100000,[9]
5,468,100000,328,[10]
6,385,100000,270,[11]
7,450,100000,100000,[12]
8,368,736,100000,[12]
9,507,100000,100000,[14]
10,427,100000,100000,[14]
11,431,100000,100000,[13]
12,614,1228,430,[14]
13,530,100000,100000,[15]
14,502,1004,351,"[15, 16]"
15,368,736,100000,[19]
16,435,870,100000,"[17, 18, 20]"
17,413,100000,289,[]
18,549,100000,384,[]
19,513,1026,359,[]
20,372,100000,260,[]
