task,th,tr,tc,successor
1,149,100000,100000,[12]
2,73,100000,100000,"[4, 5]"
3,223,446,156,"[6, 7]"
4,304,608,100000,[12]
5,26,52,18,[12]
6,132,100000,100000,"[9, 10, 11]"
7,57,100000,100000,[8]
8,258,516,100000,[12]
9,525,100000,368,[]
10,357,714,250,"[12, 13]"
11,488,976,342,[]
12,54,108,100000,"[14, 15, 16, 17]"
13,61,100000,100000,[]
14,510,100000,100000,[18]
15,112,100000,100000,[]
16,88,100000,62,[19]
17,391,782,100000,[20]
18,527,100000,369,[]
19,172,100000,120,[]
20,132,100000,100000,[]
