task,th,tr,tc,successor
1,213,100000,149,"[2, 3]"
2,74,100000,52,"[4, 5, 6]"
3,143,100000,100,[7]
4,55,100000,38,"[7, 8, 9]"
5,76,100000,100000,"[7, 8, 9]"
6,114,100000,80,"[7, 8, 9]"
7,116,232,100000,"[10, 11, 12]"
8,162,100000,100000,"[10, 11, 12]"
9,97,194,100000,"[10, 11, 12]"
10,98,196,100000,[13]
11,62,124,100000,[13]
12,107,100000,100000,"[18, 20]"
13,197,394,138,"[14, 15, 16]"
14,233,466,100000,"[18, 19]"
15,158,100000,111,[18]
16,358,100000,100000,"[17, 18, 19]"
17,99,100000,100000,[]
18,227,454,100000,[]
19,162,100000,113,[20]
20,104,208,100000,[]
