task,th,tr,tc,successor
1,157,100000,100000,"[4, 5]"
2,157,314,100000,"[3, 4]"
3,127,254,89,[14]
4,138,276,100000,"[7, 8]"
5,130,100000,91,"[6, 9]"
6,31,62,100000,[14]
7,68,100000,100000,[14]
8,186,100000,100000,"[10, 12, 13]"
9,45,100000,31,[11]
10,182,100000,127,[14]
11,191,100000,134,[]
12,173,100000,100000,[14]
13,85,100000,100000,[15]
14,115,230,100000,"[16, 17, 18, 19, 20]"
15,114,228,80,[]
16,56,112,100000,[]
17,172,344,100000,[]
18,256,100000,100000,[]
19,214,100000,150,[]
20,220,100000,154,[]
