task,th,tr,tc,successor
1,34,100000,24,[8]
2,470,940,100000,[8]
3,551,100000,386,[]
4,185,100000,130,"[5, 6, 7]"
5,299,598,209,[8]
6,205,100000,100000,[8]
7,207,414,145,"[9, 10, 11]"
8,220,440,100000,"[12, 13, 14, 15]"
9,503,100000,100000,"[17, 18]"
10,91,182,64,"[16, 19]"
11,130,100000,100000,[]
12,115,230,100000,"[17, 18]"
13,143,100000,100000,[16]
14,113,100000,100000,[16]
15,239,100000,100000,"[16, 19]"
16,511,100000,358,"[18, 20]"
17,76,152,100000,[19]
18,130,100000,91,[]
19,349,100000,100000,[]
20,470,940,100000,[]
