task,th,tr,tc,successor
1,397,794,278,[14]
2,644,100000,100000,"[5, 6]"
3,426,852,100000,"[4, 5, 10, 13]"
4,552,1104,386,"[7, 8]"
5,543,100000,380,[8]
6,270,100000,189,"[7, 8, 9]"
7,541,100000,100000,[11]
8,605,100000,424,[]
9,365,730,100000,"[10, 11, 12, 13]"
10,640,1280,448,[14]
11,607,1214,100000,[14]
12,526,100000,100000,[14]
13,482,100000,100000,"[15, 16]"
14,623,100000,436,"[17, 18, 19, 20]"
15,509,1018,100000,[]
16,619,1238,100000,[]
17,413,100000,100000,[]
18,404,100000,283,[]
19,562,100000,100000,[]
20,475,100000,100000,[]
