task,th,tr,tc,successor
1,581,100000,407,"[3, 4, 6]"
2,283,566,100000,"[3, 5, 9, 10]"
3,555,1110,100000,"[12, 13]"
4,470,940,329,"[9, 13, 19]"
5,787,100000,551,[8]
6,473,100000,100000,"[7, 10]"
7,392,100000,274,"[11, 12]"
8,570,100000,100000,[11]
9,633,1266,100000,[20]
10,616,100000,431,"[11, 12, 13]"
11,294,588,206,[16]
12,559,100000,100000,"[14, 15]"
13,622,1244,100000,"[16, 17]"
14,323,100000,100000,[19]
15,439,878,307,[]
16,506,100000,100000,[20]
17,380,100000,100000,[18]
18,352,100000,100000,[]
19,463,926,100000,[]
20,444,100000,311,[]
