task,th,tr,tc,successor
1,52,104,100000,"[2, 3, 4, 5, 6]"
2,162,324,113,[7]
3,128,100000,90,[8]
4,123,246,100000,[9]
5,93,100000,100000,[10]
6,132,100000,100000,[10]
7,273,100000,100000,[13]
8,255,510,178,[11]
9,88,100000,100000,[12]
10,113,100000,100000,[13]
11,109,100000,100000,[14]
12,37,100000,26,[15]
13,182,100000,127,"[15, 16]"
14,164,328,115,[17]
15,113,226,79,"[17, 18, 19]"
16,318,100000,223,"[17, 18, 19, 20]"
17,203,406,100000,[]
18,31,62,100000,[]
19,43,100000,100000,[]
20,197,100000,100000,[]
