task,th,tr,tc,successor
1,84,168,100000,"[4, 6]"
2,320,640,100000,"[4, 5]"
3,136,100000,95,"[4, 5]"
4,61,122,43,[7]
5,101,100000,100000,"[7, 9]"
6,100,200,70,"[8, 9]"
7,176,100000,123,"[10, 11, 12]"
8,204,100000,100000,"[10, 11]"
9,185,100000,100000,"[10, 12]"
10,49,98,100000,"[13, 14]"
11,357,100000,100000,"[13, 14]"
12,48,96,34,[13]
13,149,298,100000,"[15, 16]"
14,83,100000,100000,[15]
15,129,258,100000,[17]
16,69,100000,100000,"[18, 19]"
17,136,100000,95,[19]
18,172,100000,120,[]
19,132,100000,92,[20]
20,215,100000,100000,[]
