task,th,tr,tc,successor
1,525,1050,100000,"[4, 6, 9]"
2,633,100000,100000,[7]
3,308,616,100000,"[4, 5, 11]"
4,584,100000,409,[10]
5,407,814,100000,[9]
6,386,772,270,[8]
7,501,1002,100000,[13]
8,587,100000,100000,"[11, 12, 13]"
9,526,1052,100000,[13]
10,521,100000,100000,[12]
11,588,1176,100000,[]
12,616,1232,100000,"[14, 15, 16]"
13,295,100000,206,[14]
14,330,100000,231,"[17, 19, 20]"
15,347,100000,243,[]
16,669,100000,100000,"[17, 18]"
17,509,100000,100000,[]
18,536,100000,375,[]
19,569,100000,398,[]
20,552,100000,386,[]
