task,th,tr,tc,successor
1,144,100000,100000,[3]
2,156,100000,109,"[4, 5]"
3,477,100000,334,"[6, 7]"
4,165,100000,100000,[6]
5,267,534,100000,"[6, 7, 8]"
6,70,140,49,"[9, 10]"
7,284,568,199,[9]
8,304,100000,213,[10]
9,248,496,100000,[11]
10,55,100000,100000,[11]
11,113,226,100000,"[12, 13]"
12,520,100000,100000,"[14, 16, 17]"
13,489,100000,100000,[15]
14,324,100000,227,[]
15,232,464,100000,[17]
16,45,90,100000,[]
17,36,100000,25,"[18, 19, 20]"
18,89,100000,100000,[]
19,259,518,100000,[]
20,92,100000,64,[]
