task,th,tr,tc,successor
1,643,100000,100000,"[4, 6, 7]"
2,297,100000,208,"[5, 12, 13, 19]"
3,352,100000,246,"[4, 5]"
4,374,748,262,"[9, 12]"
5,537,100000,100000,[]
6,653,100000,100000,[19]
7,607,1214,100000,"[8, 9, 10]"
8,596,100000,100000,"[11, 12]"
9,605,1210,100000,"[13, 14, 15, 16]"
10,428,856,300,[18]
11,583,1166,100000,"[15, 16]"
12,596,1192,417,"[14, 15, 17]"
13,592,100000,100000,[]
14,429,858,100000,[]
15,399,100000,279,"[18, 20]"
16,307,100000,215,"[17, 19, 20]"
17,379,758,265,[]
18,522,100000,100000,[]
19,587,100000,100000,[]
20,765,100000,100000,[]
