task,th,tr,tc,successor
1,498,100000,100000,"[3, 4]"
2,251,100000,100000,"[13, 14]"
3,133,100000,100000,"[5, 6]"
4,98,196,100000,[5]
5,251,502,100000,"[7, 8, 9]"
6,495,100000,100000,[7]
7,179,358,100000,"[10, 11]"
8,192,384,134,"[10, 13]"
9,200,100000,140,[13]
10,555,100000,388,"[12, 14]"
11,98,100000,69,"[13, 14]"
12,430,860,301,"[15, 16]"
13,153,306,107,"[15, 16]"
14,500,1000,100000,"[15, 16]"
15,428,100000,100000,[]
16,565,100000,100000,[17]
17,97,194,100000,"[18, 19, 20]"
18,296,100000,100000,[]
19,178,100000,125,[]
20,45,100000,31,[]
