task,th,tr,tc,successor
1,252,504,176,[3]
2,73,100000,100000,"[4, 5, 6]"
3,111,100000,100000,[8]
4,281,100000,197,[7]
5,167,100000,100000,[8]
6,55,100000,100000,"[11, 12, 13]"
7,208,100000,146,[9]
8,183,366,128,"[10, 11, 12, 13]"
9,220,100000,100000,[14]
10,67,100000,47,[15]
11,116,232,100000,"[16, 17]"
12,87,174,100000,[17]
13,63,126,44,"[16, 17]"
14,172,100000,100000,[18]
15,280,100000,100000,[18]
16,60,120,42,"[19, 20]"
17,171,342,120,"[18, 19]"
18,79,158,100000,[]
19,96,100000,100000,[]
20,94,100000,100000,[]
