250 5 0
88871 92773 94959 92079 98335 
695 707 880 17 376 621 
946 451 186 938 699 416 
742 301 522 754 364 153 
938 279 846 318 612 142 
939 354 792 683 138 754 
955 623 254 498 979 888 
1024 555 743 791 321 581 
482 623 354 917 145 284 
911 483 157 294 575 948 
349 474 328 42 570 173 
1001 908 990 816 121 543 
419 326 603 298 25 800 
1019 977 395 440 242 676 
662 625 831 308 452 796 
911 941 690 361 574 496 
656 87 404 461 706 555 
1033 772 126 879 372 756 
478 618 373 212 19 69 
539 12 149 718 781 521 
915 376 534 795 987 231 
899 70 476 813 970 650 
523 65 492 402 582 206 
831 503 425 75 307 980 
1023 814 611 824 817 551 
624 707 923 126 45 589 
452 884 17 272 188 294 
401 760 375 22 140 502 
682 602 523 76 371 595 
1083 836 834 539 813 260 
544 534 282 591 118 858 
735 997 67 6 427 433 
817 205 352 821 742 144 
948 51 688 556 869 191 
814 350 456 682 744 985 
582 65 534 992 168 858 
858 29 338 722 232 625 
819 515 207 23 781 572 
883 53 741 399 694 847 
375 629 25 445 133 536 
769 917 752 603 444 400 
638 231 7 235 730 834 
851 874 109 617 574 668 
912 332 353 812 559 768 
926 69 381 249 930 539 
688 271 770 947 853 394 
923 477 940 695 482 947 
651 696 288 25 925 872 
680 31 551 281 44 974 
621 82 851 307 102 499 
958 78 451 866 633 314 
790 992 469 162 105 433 
574 124 727 72 849 460 
857 135 613 700 174 658 
607 219 210 168 986 988 
742 358 73 214 665 595 
807 690 226 630 410 797 
935 617 668 720 863 787 
862 91 316 716 448 351 
929 970 441 925 989 208 
890 551 977 2 630 358 
869 629 206 116 941 715 
461 158 78 618 44 686 
539 225 66 245 774 160 
969 938 898 449 885 972 
985 181 992 256 457 977 
741 648 237 963 846 839 
943 27 608 649 731 320 
934 982 804 789 390 62 
764 290 528 551 473 456 
757 777 945 389 657 602 
607 399 341 722 98 729 
733 837 198 375 385 877 
945 500 174 71 977 974 
1015 478 854 607 729 446 
528 103 841 379 593 641 
906 334 693 893 468 613 
867 401 265 272 448 489 
956 582 605 543 869 843 
598 802 798 125 306 477 
1063 511 887 594 470 568 
494 334 803 141 66 942 
682 300 996 829 148 39 
1086 398 513 688 496 921 
839 329 746 296 821 623 
652 249 284 892 168 833 
808 503 810 107 106 297 
1090 330 967 692 708 645 
796 605 923 614 320 152 
811 874 247 692 954 300 
750 90 736 99 583 703 
778 60 125 850 70 592 
927 914 472 689 44 62 
776 509 407 475 56 599 
736 964 512 511 92 72 
1207 824 629 957 692 584 
946 980 125 860 543 603 
625 809 111 605 20 852 
657 960 47 734 820 65 
728 75 946 616 147 185 
608 827 703 559 734 101 
518 470 692 324 47 568 
479 563 475 947 68 216 
782 658 978 215 513 81 
877 529 881 25 959 108 
802 152 123 882 245 968 
699 159 291 509 418 730 
263 61 55 28 15 805 
450 593 650 110 230 567 
785 62 18 975 658 601 
914 401 776 319 751 53 
921 291 892 704 839 582 
808 896 859 398 55 994 
194 121 399 20 121 221 
1004 524 54 485 789 876 
550 365 87 470 89 961 
621 357 401 531 944 128 
759 892 866 635 336 335 
649 188 3 475 53 246 
796 34 507 37 652 257 
722 495 983 632 740 648 
1060 608 604 660 533 838 
851 298 452 501 697 661 
848 38 410 446 903 309 
870 691 89 657 911 929 
1083 709 629 592 727 473 
573 771 26 662 461 320 
608 265 620 432 69 265 
597 34 256 39 605 180 
1095 872 94 699 781 982 
718 919 696 346 764 71 
360 128 123 891 130 525 
511 76 888 49 465 446 
1146 919 515 781 599 835 
736 345 609 874 486 618 
828 845 914 315 513 928 
896 183 475 937 863 227 
829 509 582 285 110 408 
453 108 275 754 467 528 
684 848 433 385 377 162 
599 678 460 291 56 465 
1013 558 507 609 452 907 
754 104 918 804 86 776 
838 379 234 760 947 804 
524 530 467 126 40 186 
913 953 87 959 931 929 
804 543 35 387 450 706 
992 598 768 796 244 561 
451 169 364 512 809 279 
580 313 383 635 486 933 
944 642 940 79 301 882 
713 199 13 203 18 672 
820 968 541 132 798 524 
438 562 483 7 1 338 
782 914 232 171 103 394 
1071 639 424 544 768 512 
1012 314 771 866 383 472 
733 67 407 60 250 896 
412 24 338 248 640 60 
685 437 664 684 98 643 
588 86 68 794 663 361 
676 456 253 171 149 385 
534 940 422 551 445 282 
850 603 19 587 151 982 
475 369 154 785 31 465 
865 573 692 585 721 561 
994 230 140 985 761 743 
647 282 580 375 842 950 
866 361 508 159 888 347 
961 810 238 198 491 807 
649 69 488 943 443 97 
814 62 721 719 383 113 
759 549 572 502 339 267 
