500 5 0
125725 121775 119710 126311 120621 
883 867 225 302 407 173 
600 139 717 744 351 113 
841 950 976 152 832 821 
723 69 222 248 751 167 
761 697 289 487 431 420 
564 459 686 370 890 226 
765 581 423 108 668 196 
697 926 80 958 716 423 
724 857 980 43 722 668 
1170 674 828 569 826 481 
711 794 131 954 462 505 
821 119 260 435 744 375 
697 709 103 714 658 93 
839 361 224 84 694 771 
650 445 581 107 181 494 
656 299 559 869 833 361 
467 243 634 469 413 492 
790 138 355 583 312 437 
753 572 803 111 533 452 
760 539 386 879 238 67 
1150 777 932 889 783 868 
888 346 228 644 661 616 
859 350 782 536 421 277 
794 978 547 250 776 929 
763 606 762 235 907 735 
946 755 546 269 859 325 
701 753 149 435 374 163 
676 73 334 425 868 803 
1034 965 126 826 537 994 
1156 838 920 692 271 990 
866 795 621 58 496 990 
592 439 226 271 751 527 
752 873 873 527 470 19 
390 74 660 222 460 296 
904 667 391 674 100 672 
675 430 580 272 88 36 
916 487 985 38 262 340 
894 415 446 227 738 810 
676 470 128 605 49 313 
695 462 59 290 899 987 
351 125 49 74 43 493 
678 697 24 543 932 519 
603 265 263 639 40 577 
1045 755 840 978 579 462 
697 686 819 9 411 491 
749 446 778 142 424 739 
388 49 464 289 6 289 
616 45 515 446 757 237 
924 835 166 284 538 418 
679 830 234 457 636 399 
518 315 187 384 277 656 
1051 619 478 494 629 749 
612 1 48 909 85 515 
706 325 286 203 470 613 
545 797 756 74 625 54 
589 775 611 233 25 79 
825 476 969 230 953 582 
397 657 178 434 328 298 
721 585 688 206 43 243 
825 679 580 120 807 770 
731 519 213 438 807 495 
701 380 287 486 789 310 
689 781 524 352 55 469 
901 785 829 61 912 888 
777 497 408 594 777 392 
1011 633 882 611 142 468 
676 540 150 639 230 347 
648 635 700 138 849 905 
635 142 438 813 873 705 
765 454 584 166 42 682 
590 602 24 263 659 653 
662 542 780 410 709 665 
737 579 354 223 301 18 
663 966 578 345 169 208 
861 97 568 885 502 375 
588 465 212 248 213 314 
1192 791 626 191 997 884 
509 83 124 367 368 72 
942 863 856 310 378 961 
676 772 459 496 338 922 
1103 577 605 424 680 747 
899 414 357 126 642 602 
408 444 350 62 542 56 
876 955 400 242 536 818 
788 142 724 533 633 989 
856 655 814 295 235 53 
561 636 116 418 934 331 
465 286 179 8 106 932 
650 504 249 788 350 23 
748 650 811 559 316 92 
848 520 877 69 511 741 
1130 515 613 947 701 442 
946 877 731 995 434 107 
907 695 59 987 748 142 
963 669 436 266 933 525 
769 555 408 970 831 190 
653 356 708 830 287 908 
893 560 191 390 765 724 
791 185 875 710 565 903 
1065 748 862 710 404 173 
989 455 464 835 518 653 
819 537 612 322 242 961 
714 569 86 547 945 288 
926 804 739 894 563 546 
832 985 214 316 778 236 
932 185 928 527 810 219 
774 277 558 67 583 172 
796 608 625 446 253 12 
706 407 989 986 359 386 
963 946 622 183 926 755 
730 214 989 643 112 239 
937 168 839 990 289 167 
619 807 357 553 782 280 
933 898 370 181 849 869 
947 580 269 436 873 717 
392 475 177 467 616 76 
413 521 114 232 637 256 
678 64 596 441 124 824 
609 970 926 464 571 67 
635 593 230 440 67 247 
969 560 601 989 208 849 
682 549 37 156 398 957 
