250 5 0
61438 62935 61563 57776 62918 
727 489 632 104 302 940 
711 50 706 84 470 66 
911 344 932 830 54 923 
679 58 95 418 426 187 
955 152 711 609 829 421 
801 474 427 854 43 247 
651 186 691 1000 141 109 
544 156 176 920 131 522 
1006 158 658 885 572 419 
751 206 94 674 82 458 
1167 322 554 936 877 940 
622 686 22 835 45 340 
798 178 851 129 541 918 
840 713 72 746 235 589 
659 755 802 336 115 470 
936 856 384 127 538 966 
440 557 781 128 134 68 
755 903 488 862 23 760 
911 714 829 56 91 773 
866 621 910 232 433 321 
760 476 675 859 897 676 
1132 977 960 405 595 357 
691 602 784 140 858 55 
629 433 231 759 202 663 
864 172 722 51 857 98 
576 21 369 519 76 139 
709 539 643 47 311 399 
563 236 315 115 174 635 
365 185 222 351 383 568 
563 467 217 707 401 411 
608 354 793 151 133 773 
681 667 360 961 444 971 
1138 876 805 837 392 984 
534 255 518 321 459 363 
902 104 720 957 778 566 
870 851 997 229 235 87 
988 280 949 971 519 595 
546 425 447 287 302 821 
872 954 896 531 580 764 
885 724 825 156 363 663 
938 444 159 491 633 585 
1006 590 494 588 140 951 
525 179 836 148 224 115 
617 671 665 302 706 294 
857 469 456 976 541 927 
1020 716 776 94 822 881 
704 683 578 306 90 233 
684 272 179 678 143 856 
1102 971 507 427 471 841 
550 744 952 29 138 521 
728 85 89 34 867 586 
872 913 317 655 200 884 
820 520 896 564 65 501 
457 840 39 483 306 566 
670 83 239 544 574 206 
988 404 612 862 420 625 
864 39 803 65 745 395 
818 832 461 10 802 582 
652 915 928 482 154 724 
633 158 262 290 640 514 
858 875 276 135 576 566 
697 693 331 348 304 976 
442 166 446 901 149 339 
557 28 78 628 698 818 
696 714 594 996 192 636 
639 3 88 879 697 321 
789 45 923 890 484 661 
606 215 35 838 855 414 
1034 110 823 849 667 860 
875 710 303 249 552 519 
866 762 607 613 12 849 
701 63 240 533 365 164 
584 674 537 992 211 268 
904 914 803 118 61 807 
930 847 906 467 767 388 
459 281 225 390 551 136 
880 732 102 385 261 728 
1045 275 986 665 631 854 
446 305 265 82 368 992 
846 544 474 938 844 904 
1038 622 965 603 924 490 
461 788 98 160 657 354 
793 170 321 54 798 288 
700 613 431 321 414 284 
597 677 340 149 966 573 
619 513 895 854 525 118 
478 137 508 903 488 176 
808 486 555 168 420 776 
816 694 45 514 674 903 
734 619 200 360 740 928 
1027 786 934 899 76 479 
609 567 738 930 191 237 
770 612 192 614 181 849 
657 127 196 910 393 907 
925 421 143 796 295 713 
708 490 701 647 964 379 
431 442 159 484 271 104 
982 733 336 455 88 923 
780 663 694 202 460 855 
163 8 105 71 61 446 
559 80 419 491 176 489 
818 304 389 347 626 380 
875 91 609 447 614 206 
619 406 669 245 336 507 
604 208 329 812 457 334 
988 947 147 734 245 377 
343 7 246 93 331 471 
607 461 719 763 229 809 
512 77 845 716 708 75 
825 598 976 282 198 285 
938 414 801 776 718 707 
731 594 78 378 688 624 
1337 833 946 945 963 647 
589 635 606 618 54 715 
985 408 676 746 282 693 
548 24 37 310 475 867 
447 3 839 358 522 468 
410 939 256 134 69 102 
819 300 24 282 463 549 
496 94 469 163 137 396 
817 762 1 359 83 597 
577 391 163 393 777 384 
593 768 294 475 399 624 
797 165 496 338 18 892 
385 44 312 491 69 321 
868 96 804 916 36 179 
788 814 779 662 645 145 
965 613 348 938 105 583 
729 492 851 509 308 980 
456 205 237 608 976 169 
736 648 719 584 755 597 
953 676 805 726 110 361 
949 936 546 905 679 592 
687 888 767 974 252 76 
745 373 373 193 400 625 
1050 655 682 610 181 843 
684 398 799 679 100 870 
562 471 319 615 300 725 
548 370 408 337 195 340 
854 908 402 597 939 547 
935 690 156 17 619 791 
768 292 992 322 418 117 
958 610 809 459 442 684 
1036 780 583 293 892 663 
839 377 435 811 245 169 
610 667 52 697 311 381 
899 808 610 623 177 113 
495 740 15 910 30 335 
775 930 104 623 147 298 
702 999 826 490 40 77 
571 523 834 8 899 20 
1107 926 82 1000 907 277 
437 17 183 630 61 141 
733 707 518 102 312 710 
728 903 479 426 362 150 
625 249 991 492 97 926 
1043 355 932 391 377 727 
680 257 123 596 889 705 
928 690 476 353 271 528 
876 397 852 476 457 870 
678 521 55 815 632 81 
521 196 201 835 449 308 
917 254 760 602 568 830 
944 493 137 885 346 389 
590 957 51 484 608 819 
877 773 15 537 982 984 
796 79 362 578 996 474 
581 458 628 77 203 67 
704 749 11 697 819 653 
386 289 631 30 114 4 
824 609 782 160 863 234 
552 516 395 276 666 476 
862 522 84 792 762 772 
579 365 724 712 781 231 
907 444 369 236 686 641 
1088 512 132 645 839 948 
792 487 448 403 769 598 
444 55 604 93 854 143 
644 106 188 76 562 126 
581 247 716 153 584 753 
586 890 192 601 985 15 
733 204 53 874 671 236 
433 174 514 138 341 934 
651 116 368 888 771 419 
1170 925 902 969 576 191 
897 680 329 110 650 915 
908 797 264 919 197 10 
488 475 311 182 421 613 
889 337 925 696 969 650 
881 737 633 502 503 332 
549 505 274 990 851 105 
1156 818 900 599 685 888 
847 799 418 291 451 445 
435 34 155 799 35 444 
556 465 648 473 555 227 
716 857 269 530 127 891 
908 799 504 611 890 657 
778 208 683 765 960 112 
691 403 195 291 25 539 
699 745 877 150 874 285 
901 220 756 738 872 913 
679 519 827 493 247 381 
586 196 297 634 991 122 
729 470 521 392 713 86 
1099 901 628 466 401 755 
893 530 906 92 366 906 
823 813 17 243 897 875 
827 868 885 912 314 152 
1104 316 496 456 953 936 
637 516 22 439 385 113 
710 766 776 146 669 34 
403 91 660 583 120 242 
542 460 574 99 981 411 
978 770 593 255 554 634 
891 967 256 760 331 979 
968 545 857 161 632 798 
837 709 735 15 940 556 
