250 5 0
94426 89840 87512 95798 92823 
731 785 307 537 602 314 
713 51 278 58 302 982 
577 304 395 922 774 186 
931 860 897 341 448 610 
377 852 106 334 256 32 
677 451 213 321 918 724 
541 353 941 800 114 1 
822 127 727 432 117 253 
709 642 516 438 814 880 
602 664 218 328 382 763 
555 667 254 679 676 133 
630 523 200 731 112 989 
444 599 387 252 257 695 
939 433 751 728 910 677 
606 528 990 220 46 677 
404 454 69 556 506 410 
817 126 639 532 608 911 
449 136 133 618 558 628 
528 498 439 218 7 965 
878 540 509 676 188 616 
810 49 208 621 936 737 
722 227 225 574 778 337 
279 27 78 438 206 181 
692 542 922 187 607 829 
842 521 329 276 596 262 
1000 252 910 750 804 13 
888 542 228 396 825 953 
1089 586 746 327 548 788 
734 676 428 730 586 332 
1121 887 622 720 357 608 
476 297 497 379 628 578 
354 541 287 92 58 273 
594 793 893 42 611 352 
977 510 472 830 433 197 
624 839 708 105 298 369 
1110 867 285 738 435 779 
905 340 584 573 634 320 
555 135 64 454 526 338 
917 88 205 607 317 911 
767 107 622 977 845 680 
753 682 913 841 578 374 
791 200 713 15 562 505 
943 775 951 666 501 149 
809 499 72 766 121 116 
592 124 959 406 437 803 
323 384 611 354 7 232 
1103 806 759 783 594 367 
848 335 545 123 749 999 
879 755 376 111 832 106 
629 141 573 549 16 728 
964 892 925 203 451 903 
603 856 416 39 610 465 
474 160 92 368 200 255 
609 365 601 134 232 623 
545 10 61 493 874 603 
428 382 267 58 470 254 
741 609 713 547 107 91 
553 421 386 100 63 526 
683 985 548 613 29 686 
634 77 615 975 639 482 
484 810 185 162 342 761 
601 186 406 237 860 739 
507 411 330 753 277 191 
827 681 84 847 571 587 
758 889 356 548 890 798 
427 19 227 766 128 964 
667 555 644 979 347 515 
707 370 484 857 418 113 
639 304 119 632 69 866 
757 611 275 790 608 271 
1038 870 359 476 912 443 
533 133 247 196 489 198 
1116 912 738 403 914 137 
809 728 535 602 409 484 
389 342 36 119 338 413 
784 784 624 288 445 110 
922 954 211 249 632 928 
570 85 365 390 889 687 
811 210 895 485 605 276 
913 667 957 80 443 733 
780 493 348 757 163 432 
674 600 105 48 394 951 
636 655 541 36 847 344 
763 255 529 912 586 210 
637 679 797 425 316 540 
1181 818 765 877 445 681 
905 629 472 487 290 307 
827 472 649 270 21 496 
1013 996 465 540 633 442 
519 818 216 112 448 505 
548 18 244 579 256 519 
983 866 593 978 393 998 
268 183 33 111 45 619 
888 232 191 838 487 213 
894 175 927 31 936 987 
624 828 260 157 739 875 
387 347 403 94 78 442 
636 562 199 371 979 178 
629 932 699 633 466 80 
422 15 789 267 536 356 
831 896 288 222 641 15 
437 8 198 426 750 315 
650 731 250 456 283 349 
676 221 857 551 593 673 
677 430 512 195 485 57 
433 472 372 654 66 181 
756 239 238 421 633 583 
1074 330 560 763 452 898 
1078 587 822 438 697 797 
1029 881 836 132 596 395 
527 756 70 657 190 109 
684 212 176 460 499 29 
1024 764 931 544 559 449 
442 160 722 628 428 242 
818 91 127 205 966 415 
753 409 536 927 755 237 
731 486 612 506 957 974 
719 261 749 484 185 460 
748 84 545 907 567 524 
978 356 525 927 116 633 
882 82 698 600 704 353 
572 322 41 51 166 398 
720 882 5 160 258 630 
694 7 390 177 67 450 
961 938 981 385 223 593 
898 760 635 557 383 928 
803 84 263 598 293 838 
915 656 736 774 330 921 
708 814 384 16 152 846 
609 218 251 164 402 63 
533 97 287 419 806 167 
1005 659 513 126 930 460 
338 260 395 55 77 261 
616 6 80 553 974 813 
585 577 31 707 271 876 
994 443 876 252 486 863 
1188 635 635 672 684 862 
627 127 656 829 268 779 
528 683 276 918 212 424 
608 65 601 477 911 314 
733 510 665 700 370 826 
799 436 210 811 144 259 
671 419 492 809 614 834 
554 552 402 736 846 199 
855 369 917 695 709 789 
1189 638 929 585 750 712 
844 384 908 925 573 428 
526 358 374 76 389 832 
895 453 624 394 139 935 
600 843 480 730 268 234 
508 374 655 354 271 519 
621 706 750 341 92 570 
973 571 404 62 878 938 
750 910 550 660 483 52 
955 536 277 482 627 913 
387 301 40 309 477 156 
642 371 69 401 284 59 
480 59 912 594 437 28 
404 667 82 21 28 810 
891 427 831 657 967 566 
1057 938 532 498 512 713 
908 771 297 218 709 852 
778 987 513 416 590 993 
737 599 519 491 306 121 
687 460 7 452 754 558 
610 68 763 68 817 197 
917 966 228 268 939 1 
839 535 897 481 815 354 
1000 999 922 516 935 280 
599 557 26 263 113 559 
642 538 21 520 970 123 
712 660 19 847 293 469 
590 363 180 603 265 351 
840 196 725 827 757 968 
1048 975 210 30 899 682 
996 400 844 586 963 915 
954 874 977 659 28 156 
983 785 972 230 816 874 
676 293 635 141 813 41 
418 421 298 176 233 564 
786 372 651 481 829 718 
532 342 712 327 181 755 
561 692 946 308 428 284 
965 786 652 31 837 108 
738 704 687 486 907 148 
613 29 333 772 558 19 
1089 749 126 706 564 841 
752 525 55 700 446 485 
477 466 832 341 283 81 
772 736 632 548 975 512 
592 180 968 213 206 765 
781 766 33 744 754 8 
932 975 959 484 893 747 
757 406 616 620 36 105 
1039 257 938 969 813 190 
559 409 687 242 376 474 
716 17 189 339 624 82 
755 906 678 34 791 380 
484 27 907 60 734 268 
650 289 143 863 476 624 
506 602 302 863 157 184 
792 491 564 179 288 272 
1070 780 803 867 107 974 
700 997 637 346 935 147 
657 242 766 19 342 164 
825 92 519 517 170 993 
978 930 342 55 991 382 
484 60 37 435 114 905 
740 457 200 106 733 791 
1041 217 540 963 441 639 
468 763 211 133 367 556 
798 896 117 168 894 209 
972 492 771 391 36 843 
830 478 556 692 694 398 
1077 566 634 129 981 843 
503 916 424 263 557 101 
584 328 299 585 881 703 
771 759 263 234 142 716 
795 241 375 183 267 533 
539 197 266 271 662 477 
969 663 608 767 389 180 
811 879 921 187 606 324 
1040 910 809 966 882 64 
960 425 767 946 348 576 
466 253 424 839 224 260 
