500 5 0
121255 122399 120267 122485 127250 
643 434 361 410 464 984 
961 559 887 88 389 868 
1029 157 753 288 542 945 
717 328 862 785 592 284 
514 425 848 436 30 54 
538 896 537 129 131 208 
1044 107 470 770 767 660 
848 53 955 243 147 774 
811 450 837 941 356 371 
954 803 502 288 553 290 
1050 412 773 599 820 672 
846 946 930 874 451 516 
789 858 428 12 260 136 
666 927 575 253 449 376 
589 621 951 827 281 147 
662 687 451 218 699 904 
760 386 883 746 571 616 
493 346 991 165 134 119 
858 559 489 538 123 386 
1074 449 790 299 840 523 
909 538 564 964 39 496 
492 411 823 140 126 517 
756 844 404 217 637 115 
580 971 591 228 535 97 
687 736 688 381 7 974 
630 156 423 551 139 411 
666 317 301 321 430 962 
504 738 327 390 942 54 
680 926 723 702 676 83 
641 32 428 103 272 835 
725 54 44 759 503 283 
949 235 649 968 539 845 
671 695 636 645 250 161 
898 896 964 436 971 45 
684 774 477 500 829 276 
773 677 273 589 238 556 
574 8 856 462 759 345 
498 221 314 143 255 544 
805 952 497 741 35 328 
393 103 357 519 376 33 
876 870 852 652 416 405 
664 717 9 349 998 91 
382 115 569 82 685 363 
909 479 241 122 585 675 
772 571 191 413 694 465 
558 470 147 796 408 761 
760 881 255 359 236 841 
974 855 379 320 170 961 
718 648 489 113 948 96 
772 91 815 944 319 686 
768 890 821 524 940 557 
483 360 11 16 727 179 
478 377 174 41 709 258 
658 234 652 475 646 677 
440 46 186 436 671 267 
729 932 608 102 98 874 
843 484 312 448 335 943 
608 481 505 118 909 973 
480 469 232 496 256 844 
759 805 298 273 111 336 
991 783 840 666 738 146 
708 676 992 722 46 719 
819 151 471 298 167 900 
840 334 212 503 715 951 
854 4 634 14 959 358 
635 607 133 476 660 784 
709 42 703 617 424 581 
775 493 781 464 819 810 
823 950 99 333 1000 937 
930 987 282 756 345 302 
509 886 8 295 265 634 
743 237 739 669 127 181 
1064 944 708 960 540 731 
474 763 416 260 404 156 
1003 810 673 555 383 659 
658 141 46 479 811 686 
845 346 612 907 158 372 
630 172 781 841 652 566 
561 77 162 559 104 531 
638 898 437 287 817 625 
907 291 630 419 634 313 
707 895 65 83 991 291 
314 244 450 346 70 331 
499 5 124 857 200 173 
971 229 952 233 776 877 
776 405 358 405 896 630 
842 583 656 35 144 308 
923 381 704 759 858 935 
740 795 846 315 660 839 
978 951 482 971 589 947 
938 706 211 530 616 183 
791 763 240 718 681 130 
972 651 522 343 443 983 
1056 395 878 214 884 442 
778 179 216 574 484 324 
971 271 748 739 391 659 
1000 619 165 831 821 520 
1071 541 444 601 873 901 
413 208 510 46 702 237 
745 590 930 140 703 653 
964 821 993 962 883 893 
971 547 947 768 409 376 
926 806 803 9 378 872 
916 136 540 654 103 962 
604 426 766 249 855 171 
813 790 210 990 667 686 
740 994 164 411 490 191 
661 850 363 282 314 109 
696 456 329 917 582 242 
497 442 478 51 723 590 
846 952 375 358 212 672 
852 424 593 510 447 648 
822 675 796 464 695 778 
1075 948 707 471 798 95 
552 565 121 420 470 706 
1049 216 962 645 604 824 
360 108 32 282 240 631 
944 430 172 33 997 656 
939 316 391 406 295 966 
730 127 952 830 840 849 
782 677 947 472 484 205 
771 909 379 191 458 494 
1096 762 829 742 589 154 
872 469 145 845 891 395 
682 632 977 371 975 275 
907 365 895 699 755 340 
777 467 375 716 558 364 
766 95 473 660 310 394 
765 2 91 846 197 495 
704 464 784 193 97 900 
