100 5 0
36381 36418 42169 39038 39353 
855 919 866 956 27 551 
1005 752 178 828 827 578 
509 389 155 958 346 221 
1046 678 678 985 631 195 
983 803 969 645 720 786 
754 595 371 338 306 5 
732 171 686 755 918 970 
713 211 424 479 662 868 
674 52 829 453 730 243 
975 449 867 647 757 80 
590 38 330 588 253 868 
909 658 908 467 633 483 
741 673 781 414 725 634 
627 470 305 237 355 825 
568 256 376 229 82 891 
977 447 664 899 520 431 
363 834 204 50 430 179 
861 329 13 65 696 706 
941 937 809 292 420 158 
916 998 191 908 856 48 
738 325 288 588 784 252 
977 918 130 221 716 996 
188 33 17 551 23 91 
677 576 215 890 830 825 
778 448 106 701 279 116 
536 118 392 318 245 146 
920 825 861 865 759 980 
820 928 478 432 444 855 
747 306 154 224 269 886 
586 393 458 867 558 78 
602 53 693 684 725 314 
775 100 439 967 957 517 
632 535 296 501 471 928 
847 495 548 48 613 236 
780 794 682 646 400 923 
1018 659 793 110 506 773 
697 951 994 574 399 54 
821 705 930 557 437 936 
789 232 46 628 578 219 
1040 627 26 789 627 687 
813 566 113 579 784 941 
607 163 337 595 432 543 
408 438 398 471 360 140 
584 408 262 738 573 865 
735 329 650 469 188 840 
705 638 662 920 337 472 
421 7 777 248 942 45 
979 892 986 312 279 418 
584 965 317 204 709 12 
413 6 136 814 37 473 
803 648 141 932 598 972 
310 10 638 203 498 47 
1024 624 519 146 908 925 
1044 848 679 480 784 801 
800 958 198 872 71 179 
825 360 334 68 963 121 
476 828 224 404 405 445 
693 514 961 415 558 282 
496 266 93 380 357 923 
629 983 279 372 562 565 
848 335 948 44 856 752 
819 368 632 215 384 554 
770 77 938 87 397 859 
480 124 58 122 439 89 
602 84 586 800 109 569 
800 42 325 350 379 902 
1108 993 602 822 92 935 
555 116 946 965 186 551 
682 95 686 63 79 457 
670 6 274 950 591 397 
875 957 534 747 580 17 
843 946 213 936 487 795 
489 18 606 265 893 460 
775 670 859 118 733 925 
628 846 105 663 855 488 
955 248 980 481 612 844 
892 746 767 12 24 917 
760 194 523 781 750 608 
1141 573 623 976 679 859 
558 30 3 128 738 101 
732 393 326 878 416 179 
782 420 445 578 898 468 
971 573 822 953 27 596 
393 285 55 719 189 193 
987 434 773 901 773 858 
860 430 665 515 967 405 
1059 657 895 588 841 677 
651 947 2 910 28 520 
731 791 283 616 727 985 
727 147 250 588 214 107 
1130 296 881 928 355 947 
545 332 393 515 22 812 
723 722 842 972 492 268 
990 927 609 371 668 636 
486 135 161 899 908 76 
575 69 191 660 339 537 
703 453 639 885 821 154 
979 728 364 949 846 407 
613 818 418 302 352 329 
945 352 481 997 445 696 
