100 5 0
36577 36182 38612 37338 36798 
1035 898 703 963 399 602 
760 137 58 713 635 456 
1051 865 931 946 464 541 
473 892 130 429 149 474 
414 976 191 12 36 309 
773 857 4 560 900 123 
571 353 65 317 772 233 
578 15 501 138 836 358 
690 11 240 373 188 760 
552 215 353 871 347 843 
916 98 211 834 808 213 
1000 834 598 80 864 696 
538 43 683 296 667 772 
485 374 241 102 71 742 
480 17 112 535 451 760 
619 371 439 999 307 664 
1069 903 593 929 326 740 
694 227 450 136 298 108 
1116 661 740 951 289 998 
964 296 723 951 789 482 
810 519 387 770 424 770 
523 721 245 109 338 403 
570 111 896 198 434 465 
457 142 28 758 206 99 
540 513 282 78 224 784 
718 328 785 220 29 85 
776 983 975 569 456 679 
599 89 906 890 603 147 
967 893 350 759 975 310 
835 733 712 365 938 939 
561 933 268 153 734 438 
973 642 908 205 417 352 
1006 519 951 941 2 185 
913 728 908 360 671 983 
536 138 476 190 344 288 
754 92 656 491 298 116 
1032 927 716 669 612 125 
756 489 871 824 710 572 
692 938 631 99 399 63 
830 781 530 549 74 804 
884 730 326 381 728 24 
830 104 660 252 711 215 
872 618 326 293 714 158 
730 917 543 747 352 928 
418 7 252 240 842 359 
1042 405 497 835 403 658 
585 81 619 515 643 381 
1058 560 886 435 798 440 
957 617 389 735 955 741 
331 214 177 45 654 445 
935 696 747 461 510 626 
317 4 291 964 111 213 
755 455 927 465 710 464 
636 234 436 978 482 571 
751 209 597 884 930 848 
812 465 347 553 906 371 
655 348 907 616 621 209 
590 520 173 227 155 693 
858 474 567 470 597 353 
916 931 543 526 139 440 
554 383 333 644 587 550 
1062 585 959 250 239 953 
861 54 140 749 218 810 
486 232 576 460 852 14 
742 827 644 836 704 114 
625 69 286 122 561 192 
887 511 104 524 257 603 
883 945 63 852 878 391 
652 588 677 648 70 399 
960 961 950 926 802 18 
811 53 351 889 10 531 
920 443 730 302 386 565 
456 534 936 167 462 145 
335 140 175 587 382 226 
638 60 513 321 354 446 
799 692 5 735 733 863 
753 670 87 553 417 994 
511 236 219 877 200 233 
1028 762 679 182 785 710 
590 940 86 139 263 851 
710 677 474 308 592 109 
1025 483 901 82 573 708 
920 668 641 697 321 930 
524 777 231 800 682 38 
500 575 732 640 186 355 
873 120 954 536 640 501 
932 947 199 520 246 617 
886 296 57 942 611 140 
819 304 227 833 353 695 
799 543 836 176 419 217 
613 210 324 502 526 773 
637 772 149 496 867 368 
1050 761 538 671 475 794 
543 448 378 335 616 718 
756 804 321 85 399 887 
565 432 250 99 586 642 
500 29 30 583 457 701 
659 424 849 496 787 619 
472 71 207 908 139 502 
666 892 774 57 704 524 
