250 5 0
31976 30032 31070 31376 32346 
927 440 519 373 219 859 
366 438 234 224 798 82 
972 667 110 496 639 607 
437 909 374 88 682 130 
925 758 779 826 354 702 
555 316 358 432 134 894 
517 356 209 280 463 512 
775 753 629 85 706 314 
674 915 243 11 460 983 
807 725 500 236 918 815 
806 515 825 16 119 787 
628 1000 48 274 818 797 
801 177 102 742 412 686 
545 370 343 720 596 169 
876 418 588 63 412 667 
516 562 13 983 669 15 
902 452 635 745 921 103 
770 288 347 81 353 465 
1013 121 779 996 559 972 
692 972 237 664 848 671 
485 555 50 193 111 833 
893 905 873 17 493 578 
693 241 465 374 340 549 
718 268 277 858 549 269 
795 743 435 697 94 948 
878 256 255 172 621 683 
661 366 823 885 250 675 
848 220 727 756 177 704 
940 285 826 635 253 596 
495 526 425 238 205 125 
814 642 117 34 219 916 
966 770 645 646 615 351 
1017 523 896 855 444 816 
893 487 442 593 651 861 
654 537 472 423 944 560 
702 558 323 434 843 291 
1070 413 840 623 972 96 
1018 579 673 631 816 934 
894 377 78 430 940 784 
773 496 906 389 407 462 
739 469 422 694 88 450 
528 382 452 507 967 228 
576 277 322 914 13 771 
649 796 635 380 421 671 
545 811 496 28 256 364 
701 607 29 752 195 304 
810 77 183 552 473 572 
883 72 130 822 984 928 
831 594 66 291 384 575 
738 969 495 327 27 151 
1144 40 943 876 894 894 
1250 903 678 918 699 766 
593 55 362 78 213 96 
738 459 630 505 573 425 
786 621 825 858 840 307 
547 293 617 325 94 286 
936 495 208 214 803 965 
376 55 73 72 835 650 
769 996 500 811 441 694 
1017 225 908 73 717 839 
521 96 235 540 479 257 
669 253 601 766 191 74 
931 567 263 196 378 799 
894 601 353 936 927 451 
382 179 3 150 712 792 
964 749 975 738 768 132 
1168 991 988 973 563 680 
838 849 725 154 622 997 
936 396 955 642 60 721 
957 527 472 694 394 681 
859 105 991 935 60 121 
814 705 59 649 387 154 
715 794 34 972 123 415 
481 258 167 306 391 555 
920 957 730 178 922 320 
473 473 82 154 519 120 
433 500 438 63 310 750 
534 614 549 630 151 225 
639 602 630 625 336 438 
988 22 465 777 666 679 
1081 890 791 565 294 389 
559 987 827 377 320 197 
583 283 889 375 683 649 
795 505 632 678 828 385 
818 743 372 662 284 832 
1065 998 452 749 351 478 
