250 5 0
32308 31356 34001 31702 31408 
406 978 5 459 90 154 
445 175 490 966 10 480 
861 911 282 712 121 757 
1000 495 885 944 967 309 
826 520 679 835 572 883 
721 421 793 428 194 136 
504 308 385 955 94 440 
515 51 399 695 856 462 
868 928 802 157 305 155 
837 768 70 672 37 993 
726 30 928 735 623 28 
905 273 437 825 721 709 
349 353 320 371 60 518 
724 5 132 523 385 126 
1154 207 653 905 989 759 
836 511 703 505 191 341 
763 685 206 516 796 815 
408 4 322 440 110 282 
911 500 749 768 689 610 
687 790 482 176 451 462 
795 249 846 229 971 65 
615 888 111 882 936 114 
505 468 196 690 36 149 
650 770 174 415 104 551 
424 500 86 590 172 163 
664 736 285 11 321 319 
801 387 510 393 642 58 
937 463 829 428 977 267 
829 431 794 815 2 544 
581 456 110 604 688 796 
692 697 729 595 626 588 
727 666 369 144 728 237 
1041 904 138 998 905 179 
852 607 191 559 596 124 
641 359 576 325 62 430 
841 191 442 822 197 277 
847 519 771 379 317 914 
552 502 39 181 503 72 
584 418 840 485 235 132 
667 428 306 276 677 520 
990 629 255 789 580 226 
885 293 197 321 810 859 
874 503 768 330 968 771 
806 224 521 343 78 802 
1023 895 212 796 948 276 
883 509 796 9 852 390 
879 725 835 707 822 846 
912 262 175 456 227 979 
420 119 269 678 428 553 
723 373 712 208 483 963 
604 897 421 361 60 583 
740 550 165 328 389 593 
682 292 250 949 467 731 
1084 381 470 557 870 834 
503 764 23 302 303 354 
740 690 506 253 700 363 
969 559 752 487 619 384 
863 917 21 401 160 812 
1065 996 739 755 723 592 
543 876 263 209 576 577 
1070 965 824 476 892 397 
880 611 830 771 981 435 
691 269 206 411 917 40 
782 256 921 15 658 964 
702 899 249 429 992 446 
770 694 564 76 385 902 
675 782 40 240 764 326 
875 821 729 773 304 337 
874 389 445 329 626 695 
672 278 571 593 901 302 
626 315 4 825 883 249 
728 826 181 616 493 669 
851 916 44 814 301 409 
458 272 67 35 961 10 
920 958 848 176 983 917 
495 170 973 171 837 120 
758 475 322 801 245 389 
872 794 689 544 704 650 
760 660 620 437 809 293 
909 479 517 957 433 529 
874 120 433 215 984 922 
474 98 858 248 422 557 
736 601 642 69 579 798 
896 720 102 917 687 964 
859 307 567 287 251 543 
1007 479 455 751 627 827 
652 379 578 136 546 620 
684 83 179 838 775 766 
866 88 909 982 612 392 
754 108 646 589 412 514 
651 239 363 453 671 5 
