100 5 0
34109 36215 34532 40184 32535 
976 1 823 769 752 409 
412 168 433 4 381 826 
1112 750 582 953 341 613 
860 725 326 314 953 304 
865 279 829 385 921 779 
245 463 102 142 378 133 
836 274 25 794 159 913 
522 28 404 839 748 225 
743 474 220 138 752 760 
735 315 373 83 64 519 
576 604 618 635 597 293 
790 142 454 77 934 485 
354 168 259 324 724 212 
688 634 342 71 607 181 
943 916 599 714 101 225 
706 695 442 170 688 28 
987 883 62 877 894 945 
1082 969 914 654 236 381 
720 126 248 477 724 991 
846 916 445 5 424 333 
583 16 379 13 960 905 
487 545 428 92 608 341 
641 309 508 734 979 124 
546 345 645 571 430 103 
1134 256 849 323 962 992 
727 578 15 265 603 196 
491 259 590 845 324 253 
642 576 474 351 955 431 
548 1 194 477 532 206 
635 228 527 281 654 83 
996 221 548 872 882 441 
620 288 472 987 156 7 
842 668 20 586 735 407 
722 986 951 204 748 193 
693 488 265 395 747 499 
872 467 886 41 307 717 
678 941 659 193 314 419 
1054 917 541 554 774 346 
573 55 895 720 479 116 
1000 573 508 711 935 23 
972 885 11 245 878 772 
961 937 735 364 1000 589 
793 695 287 461 894 82 
808 902 254 718 233 671 
529 175 321 287 368 980 
425 250 148 467 680 151 
502 664 500 320 83 819 
875 270 274 738 358 547 
601 596 287 874 105 482 
339 188 138 106 48 115 
466 164 794 34 449 175 
405 267 27 160 787 233 
882 998 905 396 992 376 
554 669 187 58 999 118 
503 77 754 327 993 104 
746 892 180 920 468 164 
570 711 435 81 330 78 
808 588 847 321 916 532 
511 105 898 193 962 99 
851 443 236 191 778 330 
768 592 831 815 511 580 
684 574 808 593 157 277 
1029 972 998 695 605 148 
866 557 979 739 744 473 
697 560 240 242 188 489 
794 300 359 554 83 804 
502 73 913 194 117 787 
882 256 408 757 588 533 
159 27 463 21 135 95 
769 221 434 223 182 621 
440 280 466 113 857 240 
608 985 152 200 606 35 
1107 534 352 949 759 859 
960 621 794 729 40 812 
594 302 943 865 159 687 
725 402 854 732 594 930 
727 467 275 470 95 37 
847 155 646 694 554 110 
735 240 434 262 152 260 
509 862 14 713 437 470 
435 321 172 321 350 212 
343 83 145 79 440 713 
770 93 830 352 278 501 
760 709 87 939 329 356 
841 57 610 996 232 526 
948 216 260 653 894 722 
522 734 135 294 613 282 
771 22 668 490 129 220 
1109 664 863 888 578 322 
870 311 43 825 543 153 
923 94 637 779 532 661 
775 239 753 7 643 842 
723 927 789 745 248 734 
798 476 784 861 82 727 
640 530 255 203 507 625 
948 381 853 78 753 755 
1055 101 739 848 727 568 
810 629 123 533 99 907 
716 431 782 572 514 181 
858 757 324 118 742 352 
