100 5 0
33604 34889 37341 39585 36775 
1069 135 723 421 680 948 
740 997 666 655 353 106 
785 850 176 988 767 255 
1130 971 662 957 469 348 
937 321 544 922 414 605 
541 83 657 775 140 796 
813 101 430 320 21 880 
997 575 497 217 963 878 
827 333 470 33 756 285 
954 382 883 280 678 637 
603 476 923 148 9 199 
523 459 158 126 771 265 
905 490 411 251 844 827 
673 781 388 604 745 445 
1000 128 797 979 877 933 
306 156 343 70 8 692 
881 557 376 649 449 82 
758 442 343 693 757 314 
594 103 222 211 744 696 
716 268 26 778 715 84 
540 740 35 341 662 223 
716 461 407 326 483 382 
771 833 656 609 669 893 
695 725 903 711 179 199 
722 435 37 983 214 975 
672 233 499 314 247 744 
829 341 80 990 526 764 
621 470 728 219 751 341 
520 394 611 240 963 286 
692 41 911 664 843 30 
875 534 685 380 923 261 
567 120 467 314 620 204 
656 515 661 617 183 23 
528 792 57 577 3 29 
934 522 166 710 274 870 
584 413 10 809 221 384 
723 853 313 593 988 759 
626 507 266 663 349 446 
914 348 828 114 486 577 
563 797 221 367 277 188 
889 362 668 777 580 456 
1045 879 553 653 636 153 
850 422 388 312 456 535 
493 319 180 79 246 243 
675 185 454 832 423 806 
485 641 55 478 33 166 
826 760 539 87 270 192 
922 498 118 543 535 549 
1178 946 643 781 896 420 
542 82 445 151 896 360 
612 799 551 820 102 142 
693 178 840 301 351 867 
539 692 480 183 439 780 
990 503 757 604 195 416 
726 55 673 962 912 108 
1008 665 534 638 916 985 
566 481 275 550 884 72 
877 442 266 723 577 819 
640 222 436 616 334 569 
802 378 667 558 2 565 
761 868 9 600 256 963 
712 586 64 162 989 994 
304 85 5 469 637 260 
896 534 185 495 524 308 
805 240 359 243 844 438 
522 291 227 729 246 877 
599 112 336 844 264 423 
1015 877 328 586 964 983 
960 608 632 270 694 844 
612 21 914 784 985 63 
881 352 158 151 649 860 
891 900 118 510 859 408 
535 422 1 805 887 173 
662 293 480 495 953 1000 
732 988 872 637 327 408 
966 481 458 883 255 423 
750 116 757 192 309 203 
1025 542 605 95 802 605 
512 276 538 244 342 393 
1186 624 977 438 991 802 
985 700 961 267 801 902 
382 325 593 315 464 135 
426 17 336 189 146 289 
538 51 460 666 471 160 
879 176 759 500 592 32 
502 47 572 478 242 789 
733 462 698 297 497 704 
639 58 264 634 492 781 
460 361 747 86 50 951 
802 484 486 379 854 387 
450 759 159 87 747 218 
562 288 523 481 87 507 
1087 776 560 999 612 54 
744 896 986 135 500 168 
981 99 379 707 834 958 
836 441 111 598 186 388 
1042 893 384 340 590 730 
737 381 88 959 9 728 
581 131 751 269 769 202 
572 53 920 504 356 466 
