task,th,tr,tc,successor
1,153,100000,100000,"[7, 10]"
2,64,100000,100000,"[7, 8, 9]"
3,51,100000,100000,[11]
4,121,242,100000,[7]
5,74,100000,52,"[7, 8, 13]"
6,138,100000,97,"[8, 16]"
7,107,214,100000,"[11, 12, 14]"
8,113,100000,100000,"[11, 12]"
9,72,100000,50,"[11, 12, 13, 14]"
10,123,100000,100000,[]
11,138,100000,97,"[31, 41, 49]"
12,62,100000,100000,"[15, 17, 18]"
13,27,54,100000,"[15, 16, 18]"
14,214,428,150,[22]
15,34,68,24,"[24, 40, 49]"
16,136,272,100000,[20]
17,41,100000,29,"[19, 20]"
18,295,590,100000,[41]
19,104,208,100000,[21]
20,129,100000,90,"[22, 23]"
21,220,440,100000,"[24, 25, 26]"
22,87,100000,100000,"[25, 27, 35, 36]"
23,148,296,100000,"[24, 25, 26, 28, 29]"
24,177,100000,100000,"[35, 36]"
25,192,384,134,"[30, 31, 32, 37]"
26,85,100000,59,"[35, 37, 48]"
27,245,100000,100000,"[34, 40]"
28,65,130,46,"[33, 34, 36, 41]"
29,314,100000,220,"[32, 37]"
30,178,100000,100000,"[38, 39, 40, 41]"
31,207,414,145,[]
32,157,100000,100000,[]
33,216,432,100000,"[40, 42]"
34,250,100000,100000,"[38, 39, 44]"
35,123,100000,86,"[47, 50]"
36,203,100000,100000,"[39, 48]"
37,112,224,100000,"[39, 42]"
38,40,100000,28,"[43, 45]"
39,90,100000,100000,[]
40,73,100000,100000,[]
41,139,100000,100000,"[43, 44]"
42,70,140,100000,[43]
43,101,202,71,[]
44,179,358,125,"[46, 50]"
45,194,388,100000,"[47, 48, 49]"
46,236,100000,165,[]
47,153,306,107,[]
48,64,100000,45,[]
49,53,100000,100000,[]
50,45,100000,100000,[]
