task,th,tr,tc,successor
1,102,100000,71,[7]
2,216,100000,100000,[10]
3,228,100000,100000,"[8, 9, 11, 12]"
4,59,118,100000,[]
5,168,336,100000,[]
6,141,282,100000,[13]
7,127,254,100000,[15]
8,102,204,71,[16]
9,172,100000,100000,[17]
10,209,100000,100000,[14]
11,71,100000,100000,[18]
12,186,100000,100000,[]
13,95,190,66,"[19, 20]"
14,151,100000,106,[21]
15,239,478,100000,[22]
16,59,118,100000,[23]
17,239,100000,167,[24]
18,137,274,96,[25]
19,200,100000,100000,[26]
20,198,100000,139,"[23, 27]"
21,113,226,79,[28]
22,210,100000,100000,[35]
23,194,100000,100000,"[29, 31]"
24,75,100000,100000,[]
25,121,100000,100000,[32]
26,132,100000,100000,[29]
27,32,100000,22,[30]
28,77,100000,54,[33]
29,358,716,251,"[34, 37]"
30,126,252,88,[35]
31,42,84,100000,[43]
32,130,100000,91,"[36, 42]"
33,67,100000,100000,[39]
34,107,100000,100000,[40]
35,136,272,100000,"[38, 44]"
36,128,100000,100000,"[41, 43]"
37,226,100000,158,[42]
38,87,174,61,[45]
39,271,542,190,[46]
40,174,100000,100000,[48]
41,326,100000,100000,[47]
42,74,100000,100000,[50]
43,321,100000,225,[49]
44,69,138,48,[]
45,195,100000,100000,[]
46,166,332,100000,[]
47,84,168,59,[]
48,133,266,100000,[]
49,170,100000,100000,[]
50,68,100000,48,[]
