task,th,tr,tc,successor
1,110,220,77,[17]
2,88,100000,100000,[14]
3,295,590,100000,"[7, 9, 10]"
4,150,100000,100000,"[6, 8, 23]"
5,76,152,100000,"[8, 11]"
6,61,122,100000,[17]
7,187,374,100000,[17]
8,382,764,267,[14]
9,154,308,108,[14]
10,567,100000,100000,[14]
11,293,586,205,"[12, 13, 15, 16]"
12,77,100000,100000,[17]
13,156,312,100000,[17]
14,269,100000,100000,"[17, 18, 19, 20, 21, 22]"
15,475,100000,100000,"[23, 29, 30]"
16,244,100000,100000,"[23, 30]"
17,494,100000,100000,"[24, 25, 26, 27, 28]"
18,372,100000,260,[]
19,406,100000,284,"[29, 30]"
20,498,100000,100000,[]
21,582,100000,407,[]
22,80,100000,100000,[]
23,64,100000,100000,[33]
24,400,100000,280,[]
25,110,220,100000,[]
26,531,100000,372,[33]
27,324,100000,227,[34]
28,462,924,323,"[31, 32]"
29,238,476,100000,[35]
30,425,100000,100000,[32]
31,84,168,100000,[42]
32,159,100000,111,[35]
33,83,166,100000,"[34, 35]"
34,43,86,30,[42]
35,99,100000,100000,"[36, 37, 38]"
36,228,456,160,[42]
37,408,816,100000,"[39, 41]"
38,222,444,100000,[40]
39,215,430,150,[42]
40,490,100000,100000,[42]
41,285,100000,200,"[43, 44, 45]"
42,149,100000,100000,"[46, 47, 48, 49, 50]"
43,60,100000,42,[]
44,314,100000,100000,[]
45,261,100000,100000,[]
46,398,100000,279,[]
47,156,312,100000,[]
48,275,100000,100000,[]
49,494,100000,346,[]
50,642,100000,449,[]
