task,th,tr,tc,successor
1,87,100000,100000,"[3, 5]"
2,199,398,139,"[3, 4, 5]"
3,113,226,100000,"[6, 7, 8, 9]"
4,114,100000,100000,"[6, 7, 8, 9]"
5,106,212,74,"[6, 7, 8, 9]"
6,108,100000,100000,"[10, 11]"
7,365,730,100000,"[10, 11]"
8,81,100000,57,"[10, 11]"
9,196,100000,100000,[13]
10,443,100000,310,"[12, 13, 14, 15]"
11,51,100000,36,"[14, 15]"
12,471,100000,100000,[17]
13,79,100000,100000,"[17, 20]"
14,22,44,15,"[16, 17]"
15,505,1010,100000,"[16, 17]"
16,37,100000,26,"[18, 19, 20]"
17,438,100000,100000,[18]
18,416,832,291,"[21, 22]"
19,156,100000,109,"[21, 22]"
20,85,100000,59,"[21, 22]"
21,167,100000,117,"[23, 24, 25]"
22,545,100000,100000,"[23, 24, 25]"
23,103,206,72,"[26, 27, 28]"
24,127,100000,100000,"[26, 27, 28]"
25,412,100000,100000,"[26, 27, 28]"
26,439,100000,307,"[29, 30, 31]"
27,126,252,100000,"[29, 31, 34]"
28,33,66,100000,"[30, 33]"
29,171,342,120,"[35, 36, 37]"
30,517,100000,362,"[32, 34, 37]"
31,481,962,100000,"[32, 33, 40]"
32,216,432,100000,[36]
33,458,100000,100000,[37]
34,340,100000,100000,[35]
35,110,220,100000,"[38, 39, 40]"
36,167,334,100000,[]
37,198,100000,100000,[39]
38,93,186,100000,[41]
39,557,100000,100000,[41]
40,596,1192,417,[41]
41,333,100000,233,[42]
42,81,100000,100000,"[43, 44, 45, 46]"
43,218,100000,153,"[47, 48]"
44,205,100000,100000,"[49, 50]"
45,59,118,100000,[47]
46,122,100000,85,[49]
47,77,154,100000,[]
48,551,100000,386,[]
49,126,252,100000,[]
50,22,100000,100000,[]
