task,th,tr,tc,successor
1,530,100000,371,"[23, 26, 29]"
2,620,1240,100000,"[5, 6]"
3,340,100000,100000,[5]
4,521,100000,100000,"[5, 6]"
5,648,100000,100000,"[7, 8, 9, 10]"
6,241,100000,169,"[7, 8, 9, 10]"
7,418,836,100000,"[11, 12, 13]"
8,703,100000,100000,"[11, 12, 13]"
9,507,100000,100000,"[11, 12, 13]"
10,662,100000,463,"[11, 12, 13]"
11,617,1234,100000,"[14, 15, 16, 17]"
12,537,100000,376,"[14, 15, 16, 17]"
13,518,100000,363,"[14, 15, 16, 17]"
14,665,1330,465,[18]
15,513,1026,100000,[18]
16,646,1292,100000,[18]
17,414,100000,100000,[18]
18,354,708,100000,"[19, 20]"
19,478,956,335,"[21, 22]"
20,631,100000,100000,"[21, 22]"
21,702,100000,100000,"[23, 24, 25, 26]"
22,379,100000,100000,"[23, 26, 29]"
23,520,100000,100000,"[27, 28, 30]"
24,565,1130,396,[37]
25,511,1022,358,"[27, 28, 29, 30]"
26,648,100000,454,[36]
27,369,738,100000,[31]
28,623,1246,100000,"[31, 32, 33]"
29,315,100000,220,[40]
30,482,964,337,"[32, 34]"
31,415,830,100000,"[34, 35]"
32,562,100000,100000,[35]
33,316,100000,221,"[34, 35]"
34,417,100000,292,"[36, 37, 38]"
35,417,100000,292,"[36, 37, 38]"
36,713,1426,100000,"[39, 40]"
37,436,100000,100000,"[39, 40]"
38,490,100000,343,"[39, 40]"
39,453,100000,317,[41]
40,357,714,100000,[41]
41,372,100000,260,"[42, 43, 44, 45]"
42,552,1104,100000,"[46, 47]"
43,726,100000,100000,[46]
44,326,100000,100000,[47]
45,342,100000,239,[]
46,498,996,349,"[48, 49, 50]"
47,528,1056,100000,[48]
48,652,100000,100000,[]
49,678,1356,100000,[]
50,463,100000,100000,[]
