task,th,tr,tc,successor
1,106,100000,74,"[8, 9]"
2,78,100000,55,"[4, 5, 6]"
3,26,100000,18,"[4, 5, 6]"
4,185,370,100000,"[7, 8, 9]"
5,563,1126,100000,"[7, 8, 9]"
6,25,100000,18,"[7, 8, 9]"
7,70,100000,100000,"[10, 11]"
8,75,150,100000,"[10, 11]"
9,28,56,100000,"[10, 11]"
10,429,100000,100000,"[12, 13, 14, 15, 16]"
11,296,100000,207,"[12, 13, 14, 15, 16]"
12,118,236,83,"[17, 18, 19]"
13,40,100000,100000,"[17, 18]"
14,498,996,349,"[17, 18, 19]"
15,73,100000,100000,"[17, 18, 19]"
16,268,536,100000,"[17, 18]"
17,561,100000,393,"[23, 33, 34]"
18,201,100000,100000,"[20, 21]"
19,63,100000,100000,"[20, 21]"
20,51,102,36,"[22, 23, 24]"
21,250,100000,175,"[22, 23, 24]"
22,276,552,193,[26]
23,151,302,100000,[35]
24,81,162,100000,[25]
25,40,80,28,"[27, 28]"
26,126,252,100000,"[27, 28]"
27,28,100000,100000,"[30, 31]"
28,586,1172,100000,"[29, 30, 31]"
29,147,100000,103,"[32, 33, 34]"
30,89,100000,100000,"[32, 33, 34]"
31,29,100000,100000,"[32, 33, 34]"
32,113,226,79,"[35, 36]"
33,337,100000,100000,"[44, 47]"
34,266,100000,100000,"[35, 36]"
35,82,100000,100000,"[37, 38]"
36,357,714,100000,[46]
37,179,358,100000,[39]
38,123,100000,86,"[40, 42, 43]"
39,57,100000,100000,"[41, 42, 43]"
40,422,100000,100000,"[41, 46, 47]"
41,219,438,153,"[45, 48]"
42,337,100000,100000,"[44, 45, 46, 47]"
43,328,100000,100000,"[44, 48]"
44,125,100000,88,[49]
45,513,1026,100000,"[49, 50]"
46,287,574,201,[]
47,222,100000,100000,[]
48,197,100000,138,[50]
49,220,100000,154,[]
50,187,100000,100000,[]
