task,th,tr,tc,successor
1,317,634,222,[3]
2,50,100000,100000,[3]
3,425,100000,100000,"[4, 5, 6]"
4,70,140,100000,"[7, 8, 9, 10]"
5,91,100000,100000,"[7, 8, 9, 10]"
6,266,100000,100000,"[7, 8, 9, 10]"
7,32,64,100000,"[11, 12, 13]"
8,58,100000,41,"[11, 12, 13]"
9,83,166,58,"[11, 12, 13]"
10,145,290,102,"[11, 12, 13]"
11,101,202,71,"[14, 15, 16]"
12,443,100000,310,"[14, 15, 16]"
13,147,294,100000,"[14, 15, 16]"
14,238,100000,100000,"[17, 18, 19, 20]"
15,23,100000,16,"[17, 18, 19, 20]"
16,93,100000,100000,"[17, 18, 19, 20]"
17,36,72,100000,"[21, 22]"
18,552,1104,386,"[21, 22]"
19,229,100000,160,"[21, 22]"
20,315,100000,100000,"[21, 22]"
21,49,100000,100000,"[23, 24, 25, 26]"
22,192,100000,100000,"[23, 24, 25, 26]"
23,68,100000,48,"[27, 28, 29, 30]"
24,52,100000,100000,"[27, 28, 29, 30]"
25,87,100000,100000,"[27, 28, 29, 30]"
26,26,100000,100000,"[27, 28, 29, 30]"
27,123,246,100000,[33]
28,305,100000,100000,[38]
29,131,100000,100000,"[31, 32]"
30,343,100000,100000,"[46, 49, 50]"
31,112,224,78,"[33, 34, 35]"
32,289,578,100000,"[33, 34, 35]"
33,282,100000,100000,"[36, 37, 39]"
34,278,100000,100000,"[36, 37]"
35,31,62,100000,[38]
36,339,100000,237,[42]
37,113,100000,100000,"[41, 42]"
38,550,100000,100000,"[40, 41, 42]"
39,286,572,200,[41]
40,78,100000,55,[]
41,298,596,209,[48]
42,255,100000,178,[43]
43,151,100000,106,"[44, 45, 46]"
44,106,100000,100000,[47]
45,192,384,134,[48]
46,30,60,100000,[]
47,225,450,158,[49]
48,148,100000,100000,[50]
49,175,350,122,[]
50,466,932,100000,[]
