task,th,tr,tc,successor
1,211,100000,100000,"[9, 10]"
2,22,100000,100000,[7]
3,381,762,267,"[10, 11]"
4,107,214,100000,[8]
5,224,448,100000,[17]
6,184,368,129,[12]
7,313,626,219,[17]
8,226,452,158,[]
9,323,646,100000,[13]
10,165,100000,115,"[14, 15, 18]"
11,21,100000,100000,[16]
12,297,594,208,"[31, 43]"
13,156,100000,100000,"[24, 46]"
14,408,100000,100000,[35]
15,342,100000,239,"[22, 25]"
16,172,344,100000,"[19, 23, 27]"
17,505,100000,354,[20]
18,88,100000,100000,[21]
19,111,100000,78,[31]
20,49,100000,100000,[49]
21,406,100000,284,[29]
22,250,100000,100000,[27]
23,70,140,49,[28]
24,21,100000,100000,[26]
25,89,100000,100000,[30]
26,36,100000,100000,[]
27,23,46,100000,"[32, 35, 42]"
28,76,152,100000,"[32, 34]"
29,248,100000,100000,"[33, 36, 37]"
30,61,122,100000,"[36, 37]"
31,342,100000,100000,[38]
32,207,100000,145,[45]
33,111,222,100000,"[40, 41]"
34,219,438,100000,"[42, 43]"
35,159,318,100000,[]
36,142,284,100000,[39]
37,518,100000,363,[]
38,271,100000,190,[44]
39,246,100000,172,[]
40,88,100000,100000,[48]
41,343,100000,240,[]
42,54,108,38,[]
43,65,100000,100000,"[46, 47, 50]"
44,124,100000,100000,[]
45,335,670,234,[49]
46,489,100000,342,[]
47,39,78,100000,[]
48,243,100000,100000,[]
49,558,100000,100000,[]
50,189,100000,132,[]
