task,th,tr,tc,successor
1,90,100000,100000,[37]
2,130,100000,91,[37]
3,92,184,100000,[37]
4,171,342,120,[10]
5,35,100000,100000,"[8, 9, 13]"
6,100,100000,100000,"[11, 14]"
7,139,100000,100000,[12]
8,104,208,100000,[37]
9,207,100000,100000,[15]
10,33,66,23,[17]
11,173,100000,121,"[16, 19]"
12,256,100000,179,[18]
13,466,100000,100000,[19]
14,233,466,163,"[20, 23]"
15,24,100000,17,[23]
16,226,100000,100000,[22]
17,141,100000,100000,[23]
18,151,302,100000,"[21, 25, 26]"
19,441,882,100000,"[26, 49]"
20,243,486,170,[24]
21,170,340,100000,[27]
22,157,100000,110,[28]
23,121,100000,85,[32]
24,142,100000,100000,[]
25,203,406,142,"[29, 30, 31]"
26,191,382,134,[]
27,129,100000,100000,[34]
28,239,100000,167,[33]
29,504,100000,100000,[36]
30,204,100000,100000,"[39, 49]"
31,293,586,205,"[35, 48, 50]"
32,502,1004,351,[]
33,87,174,100000,[37]
34,402,100000,100000,[38]
35,116,100000,100000,"[41, 43]"
36,472,100000,330,"[39, 40, 42]"
37,439,878,100000,"[44, 45, 46, 47, 49, 50]"
38,407,100000,100000,[48]
39,219,438,100000,[]
40,192,100000,100000,[]
41,61,100000,43,[]
42,179,100000,100000,[]
43,204,408,100000,[]
44,251,100000,100000,[]
45,245,490,172,[]
46,277,100000,194,[]
47,62,100000,100000,[]
48,452,100000,100000,[]
49,109,218,100000,[]
50,201,402,141,[]
