task,th,tr,tc,successor
1,432,100000,302,"[4, 5, 6, 7]"
2,385,100000,100000,"[4, 5, 6, 7]"
3,259,100000,100000,"[4, 5, 6, 7]"
4,479,958,100000,"[8, 9, 10]"
5,728,100000,100000,"[8, 9, 10]"
6,544,1088,100000,"[8, 9, 10]"
7,472,944,100000,"[8, 9, 10]"
8,611,1222,428,[11]
9,413,100000,100000,[11]
10,491,100000,100000,[11]
11,490,100000,100000,"[12, 13, 14]"
12,561,100000,100000,"[15, 16, 17]"
13,363,100000,254,"[15, 16, 17]"
14,449,898,314,"[15, 16]"
15,442,100000,100000,[19]
16,268,100000,188,"[18, 19]"
17,377,754,264,"[18, 19]"
18,590,100000,100000,"[20, 21, 22]"
19,535,100000,100000,"[21, 22]"
20,403,806,100000,"[23, 24]"
21,567,1134,397,[23]
22,519,100000,363,"[23, 24]"
23,404,100000,100000,"[25, 26, 27]"
24,382,764,267,"[25, 26, 27]"
25,742,100000,519,"[28, 29]"
26,636,1272,445,"[28, 29]"
27,447,100000,100000,[28]
28,389,778,272,"[30, 31, 32]"
29,664,100000,100000,"[30, 31]"
30,515,1030,360,"[33, 34]"
31,388,100000,100000,[35]
32,498,100000,349,"[44, 46]"
33,812,1624,100000,"[35, 37, 38]"
34,656,1312,100000,"[35, 36, 37, 38, 39]"
35,548,100000,100000,"[40, 41, 45]"
36,528,100000,370,"[48, 50]"
37,369,100000,100000,[42]
38,484,968,339,"[40, 42]"
39,497,100000,100000,[48]
40,522,100000,100000,"[46, 47]"
41,302,100000,100000,[]
42,408,816,286,"[43, 44]"
43,572,1144,100000,"[45, 46]"
44,477,954,100000,[47]
45,563,100000,394,[49]
46,443,100000,310,"[48, 49, 50]"
47,442,884,100000,[]
48,509,1018,100000,[]
49,406,100000,284,[]
50,533,100000,100000,[]
