task,th,tr,tc,successor
1,188,376,132,"[4, 5, 6]"
2,281,100000,100000,"[4, 5, 6]"
3,193,386,100000,"[4, 5, 6]"
4,166,100000,116,"[7, 8, 9]"
5,318,636,223,"[7, 8, 9]"
6,247,100000,100000,"[7, 8, 9]"
7,360,720,100000,"[10, 11, 12]"
8,94,100000,100000,"[10, 11, 12]"
9,456,100000,319,"[10, 11, 12]"
10,226,452,158,"[13, 14, 15, 16]"
11,154,308,100000,"[13, 14, 15, 16]"
12,336,100000,235,"[13, 14, 15, 16]"
13,484,100000,339,"[17, 18]"
14,537,100000,100000,"[17, 18]"
15,181,362,100000,"[17, 18]"
16,475,100000,332,"[17, 18]"
17,217,100000,152,"[19, 20, 21, 22]"
18,523,100000,100000,"[19, 20, 21, 22]"
19,152,100000,100000,"[23, 24]"
20,111,100000,100000,"[23, 24]"
21,558,1116,100000,"[23, 24]"
22,119,100000,83,"[23, 24]"
23,97,100000,100000,"[25, 26, 27]"
24,90,100000,63,"[25, 26, 27]"
25,143,100000,100000,[28]
26,343,686,100000,[28]
27,50,100,35,"[29, 32]"
28,292,584,204,"[29, 30, 31, 32]"
29,38,100000,100000,"[35, 45, 46]"
30,172,344,120,"[33, 34]"
31,516,1032,100000,"[34, 37]"
32,130,260,100000,"[34, 37]"
33,191,100000,100000,"[37, 42]"
34,248,100000,100000,[36]
35,392,784,100000,[49]
36,214,428,150,"[38, 39]"
37,196,100000,100000,"[38, 44]"
38,200,100000,140,"[41, 47, 48]"
39,523,100000,366,"[40, 42]"
40,149,298,100000,"[45, 49]"
41,77,154,100000,[43]
42,257,100000,180,[44]
43,304,608,213,[]
44,105,100000,100000,"[45, 46]"
45,202,100000,141,"[48, 50]"
46,195,100000,100000,"[47, 49]"
47,196,100000,100000,[]
48,171,100000,100000,[]
49,74,148,100000,[]
50,138,100000,100000,[]
