task,th,tr,tc,successor
1,558,1116,391,"[5, 6]"
2,640,100000,100000,[7]
3,445,890,312,[]
4,345,690,100000,[]
5,526,1052,100000,"[9, 12, 15]"
6,566,100000,396,"[8, 9, 10, 13, 14]"
7,408,816,100000,"[10, 11]"
8,302,100000,211,[]
9,489,100000,100000,"[16, 17]"
10,587,1174,411,[]
11,689,100000,100000,[22]
12,457,914,100000,"[18, 21]"
13,333,100000,233,[]
14,335,100000,100000,"[19, 23]"
15,348,696,100000,[20]
16,658,100000,461,[]
17,328,656,230,[29]
18,491,100000,100000,"[24, 27]"
19,497,994,100000,[30]
20,283,566,100000,"[25, 28]"
21,608,100000,100000,[26]
22,444,888,100000,[]
23,496,100000,347,[]
24,476,100000,100000,"[33, 35, 38]"
25,336,100000,100000,[34]
26,522,100000,100000,"[32, 33]"
27,367,100000,257,[46]
28,467,100000,100000,"[31, 35, 36]"
29,689,100000,100000,[44]
30,565,1130,100000,[37]
31,589,100000,100000,[]
32,771,100000,100000,[]
33,567,100000,397,"[39, 40]"
34,620,100000,100000,"[41, 43, 48]"
35,730,1460,511,[44]
36,437,100000,306,[42]
37,531,1062,100000,[]
38,369,738,100000,[]
39,548,1096,100000,"[48, 50]"
40,515,100000,100000,[45]
41,557,1114,390,"[46, 49]"
42,323,100000,226,[]
43,499,100000,349,[]
44,542,100000,379,"[45, 47]"
45,453,100000,100000,[]
46,520,1040,100000,[]
47,609,100000,426,[]
48,383,100000,268,[]
49,310,100000,100000,[]
50,547,1094,383,[]
