task,th,tr,tc,successor
1,277,554,100000,[7]
2,719,100000,503,[8]
3,719,100000,503,[9]
4,449,100000,100000,"[10, 20, 27]"
5,399,100000,279,"[11, 13]"
6,570,100000,100000,"[12, 13]"
7,550,1100,385,[18]
8,504,100000,353,[19]
9,650,100000,455,[14]
10,585,100000,100000,[15]
11,440,100000,100000,[16]
12,640,1280,100000,[17]
13,352,704,246,"[18, 19, 20, 21]"
14,306,100000,100000,[23]
15,672,100000,470,[22]
16,671,100000,470,[24]
17,348,696,100000,[25]
18,497,994,100000,"[25, 26, 27]"
19,470,100000,100000,"[26, 27]"
20,549,1098,100000,[26]
21,748,100000,524,"[29, 34]"
22,579,1158,405,[28]
23,489,978,342,[29]
24,365,100000,100000,[29]
25,517,100000,100000,"[29, 31]"
26,480,960,100000,"[29, 30, 31]"
27,436,872,100000,[29]
28,390,780,273,[32]
29,460,100000,100000,"[35, 37]"
30,314,100000,100000,"[33, 34, 35]"
31,613,1226,429,[34]
32,566,100000,396,[37]
33,451,100000,100000,[36]
34,600,100000,100000,"[37, 38]"
35,504,1008,353,"[38, 39, 42]"
36,620,1240,100000,[39]
37,474,948,100000,"[39, 40, 41, 42]"
38,367,100000,100000,"[40, 43]"
39,572,100000,100000,[43]
40,455,910,318,[]
41,510,100000,100000,[46]
42,452,904,100000,[43]
43,732,100000,100000,"[44, 45, 46]"
44,610,100000,427,[47]
45,530,1060,100000,[48]
46,679,100000,100000,"[49, 50]"
47,456,100000,319,[]
48,644,100000,100000,[]
49,361,100000,100000,[]
50,748,1496,524,[]
