task,th,tr,tc,successor
1,50,100000,100000,"[5, 7, 9]"
2,52,104,100000,[44]
3,242,100000,100000,[10]
4,113,100000,79,"[6, 8, 11, 21]"
5,21,100000,100000,[12]
6,188,376,100000,"[13, 15]"
7,225,100000,158,[48]
8,229,100000,100000,[23]
9,108,216,100000,[17]
10,78,156,55,[]
11,275,100000,192,"[14, 16]"
12,149,298,100000,[19]
13,66,132,100000,[18]
14,216,100000,100000,[20]
15,108,216,76,"[22, 23]"
16,143,100000,100000,[]
17,216,100000,100000,"[21, 29]"
18,143,100000,100000,[26]
19,188,376,100000,[24]
20,39,78,100000,[25]
21,72,100000,50,"[27, 45]"
22,65,100000,100000,[43]
23,37,74,26,"[28, 29, 30]"
24,114,228,80,[32]
25,101,100000,100000,[31]
26,261,522,100000,[33]
27,67,100000,100000,[34]
28,271,542,100000,[35]
29,138,276,100000,[36]
30,121,100000,100000,"[37, 38]"
31,70,100000,100000,[40]
32,61,100000,100000,[39]
33,191,382,100000,[43]
34,188,100000,132,[43]
35,83,100000,58,[41]
36,134,268,94,[42]
37,170,100000,119,[46]
38,86,100000,100000,"[44, 45]"
39,171,100000,120,[47]
40,43,86,30,[48]
41,101,100000,71,[49]
42,108,216,100000,[48]
43,180,100000,126,[50]
44,150,100000,105,[]
45,61,100000,43,[]
46,180,360,100000,[]
47,61,100000,100000,[]
48,289,100000,202,[]
49,173,100000,100000,[]
50,99,198,69,[]
