task,th,tr,tc,successor
1,58,116,100000,[5]
2,150,300,100000,"[8, 9, 16]"
3,53,100000,37,[]
4,68,136,100000,"[6, 7, 9]"
5,118,100000,83,[12]
6,62,100000,100000,[10]
7,93,100000,65,"[11, 13]"
8,124,100000,100000,[]
9,190,380,100000,[]
10,105,100000,100000,[14]
11,114,228,80,"[15, 19]"
12,100,100000,100000,"[16, 18, 25]"
13,242,484,169,"[17, 18]"
14,72,144,50,[21]
15,41,100000,100000,[24]
16,123,100000,86,[20]
17,220,440,100000,"[22, 26]"
18,358,716,251,[23]
19,58,116,100000,"[25, 27, 28]"
20,69,100000,100000,[29]
21,190,100000,133,[36]
22,146,100000,100000,[30]
23,257,514,100000,[32]
24,96,192,100000,[34]
25,127,100000,89,"[31, 33]"
26,94,188,100000,"[35, 37]"
27,68,136,100000,[44]
28,71,100000,50,[]
29,116,100000,81,[38]
30,189,378,100000,[39]
31,274,100000,192,[40]
32,177,100000,100000,[43]
33,228,100000,160,[41]
34,103,100000,72,[44]
35,81,100000,100000,[42]
36,156,100000,109,[]
37,183,100000,100000,[]
38,149,298,100000,[45]
39,104,100000,100000,[46]
40,360,100000,252,[47]
41,35,100000,100000,[48]
42,29,58,100000,[49]
43,134,100000,100000,[]
44,28,100000,100000,[50]
45,181,100000,100000,[]
46,185,100000,100000,[]
47,126,100000,88,[]
48,238,476,167,[]
49,118,236,83,[]
50,26,52,100000,[]
