task,th,tr,tc,successor
1,513,1026,359,"[12, 13, 17]"
2,483,966,100000,[]
3,697,1394,100000,[]
4,682,100000,100000,[32]
5,437,100000,100000,[]
6,339,678,237,[]
7,484,968,339,[]
8,720,1440,504,[28]
9,500,1000,100000,[16]
10,574,100000,100000,"[13, 15]"
11,395,790,100000,"[14, 30]"
12,376,752,100000,[18]
13,379,758,100000,"[18, 43]"
14,488,100000,342,"[20, 29]"
15,856,1712,100000,"[19, 46]"
16,398,100000,100000,"[18, 21, 37]"
17,585,100000,100000,[22]
18,384,100000,100000,"[26, 27, 36]"
19,502,100000,100000,[23]
20,271,100000,100000,"[25, 32]"
21,473,100000,100000,"[24, 28]"
22,479,100000,335,"[26, 49, 50]"
23,486,972,340,"[31, 43]"
24,344,100000,241,"[29, 30]"
25,611,100000,100000,[]
26,438,100000,100000,[]
27,445,100000,100000,[]
28,501,1002,351,[]
29,557,1114,100000,"[32, 39]"
30,562,100000,100000,[33]
31,328,100000,100000,"[34, 35, 36, 37]"
32,570,100000,399,[]
33,552,100000,386,"[39, 40, 42]"
34,404,808,283,"[38, 41]"
35,572,100000,100000,"[39, 45]"
36,449,898,100000,[]
37,432,100000,302,[]
38,608,100000,100000,"[45, 49, 50]"
39,363,726,100000,[48]
40,516,100000,361,"[43, 46, 47, 50]"
41,521,1042,365,[44]
42,435,100000,100000,[]
43,452,100000,316,[]
44,604,100000,100000,[]
45,580,1160,100000,[]
46,463,926,324,[]
47,474,100000,332,[]
48,622,100000,435,[]
49,450,100000,315,[]
50,388,100000,100000,[]
