task,th,tr,tc,successor
1,417,100000,100000,[6]
2,382,764,100000,[7]
3,552,100000,386,"[8, 9]"
4,257,100000,100000,"[8, 9]"
5,582,1164,407,"[8, 9]"
6,503,100000,352,[11]
7,657,1314,100000,[12]
8,297,594,100000,"[10, 13, 14]"
9,410,820,100000,"[13, 14]"
10,504,100000,353,[16]
11,375,100000,262,[15]
12,569,100000,100000,[17]
13,496,100000,100000,[17]
14,696,100000,487,[17]
15,447,894,100000,[18]
16,368,100000,258,[20]
17,720,100000,504,"[19, 20, 21]"
18,598,100000,419,[23]
19,422,844,100000,"[22, 23, 24, 25]"
20,825,100000,100000,"[24, 25]"
21,583,100000,100000,"[24, 29, 32]"
22,377,754,264,[26]
23,545,100000,382,"[27, 28, 29, 33]"
24,438,100000,100000,"[28, 30]"
25,351,100000,100000,"[29, 46]"
26,583,1166,100000,[32]
27,445,890,312,[31]
28,448,100000,100000,[34]
29,502,100000,351,[35]
30,436,100000,100000,"[33, 35, 40]"
31,463,926,100000,[37]
32,466,100000,100000,"[36, 38, 39, 46]"
33,351,100000,246,[39]
34,698,1396,100000,"[39, 40]"
35,750,1500,100000,[49]
36,517,100000,100000,[41]
37,405,810,100000,[42]
38,530,100000,371,[43]
39,458,916,321,"[44, 45]"
40,668,1336,100000,[46]
41,365,730,100000,[48]
42,434,100000,304,[48]
43,594,1188,100000,[49]
44,620,1240,100000,[47]
45,600,100000,100000,"[48, 49, 50]"
46,462,100000,323,[]
47,722,1444,505,[]
48,346,100000,100000,[]
49,339,100000,100000,[]
50,429,100000,300,[]
