task,th,tr,tc,successor
1,84,100000,100000,[31]
2,88,100000,100000,[11]
3,215,100000,100000,"[12, 15]"
4,373,100000,100000,[8]
5,346,692,242,"[9, 16]"
6,242,100000,169,[13]
7,37,100000,100000,"[10, 14]"
8,156,100000,100000,[31]
9,90,180,100000,[31]
10,167,334,117,[31]
11,42,84,29,[17]
12,279,100000,100000,[18]
13,179,358,125,[]
14,55,110,38,[21]
15,451,100000,100000,"[19, 20, 22, 23]"
16,251,100000,100000,[]
17,116,232,81,[25]
18,210,420,147,[24]
19,126,100000,100000,[26]
20,454,908,100000,[]
21,171,100000,120,[27]
22,409,100000,100000,[28]
23,217,434,100000,"[29, 30]"
24,66,100000,46,[31]
25,235,470,100000,[32]
26,399,100000,279,"[33, 34]"
27,54,100000,38,[]
28,121,242,85,[]
29,154,100000,100000,[]
30,107,100000,75,[35]
31,489,100000,100000,"[36, 37, 38, 39, 40]"
32,91,100000,100000,[41]
33,327,100000,229,[42]
34,412,100000,100000,[]
35,70,140,49,[]
36,115,230,100000,"[43, 45]"
37,31,100000,22,[]
38,499,998,100000,[46]
39,149,298,100000,[]
40,170,100000,100000,[]
41,541,100000,100000,[44]
42,547,100000,100000,[]
43,144,100000,100000,[47]
44,488,976,342,[]
45,86,100000,60,"[48, 50]"
46,108,216,100000,[49]
47,98,196,69,[]
48,190,100000,100000,[]
49,167,100000,100000,[]
50,118,236,100000,[]
