task,th,tr,tc,successor
1,590,100000,413,"[8, 9, 10]"
2,151,302,100000,"[7, 11]"
3,102,204,71,[]
4,437,874,306,[7]
5,226,100000,100000,[12]
6,493,986,100000,[10]
7,545,100000,100000,[32]
8,183,100000,128,[32]
9,524,100000,100000,[15]
10,473,946,100000,"[13, 16, 18, 19]"
11,230,100000,100000,[14]
12,112,100000,78,[17]
13,118,236,100000,[32]
14,115,100000,100000,[32]
15,59,118,100000,[22]
16,203,406,142,"[20, 21]"
17,77,100000,100000,[24]
18,216,432,151,[25]
19,237,100000,100000,[23]
20,217,434,152,[27]
21,196,100000,137,[28]
22,245,490,172,[]
23,547,100000,383,[]
24,166,100000,116,"[29, 30]"
25,172,344,100000,"[26, 31]"
26,482,964,100000,[32]
27,544,1088,381,[34]
28,272,544,190,[33]
29,61,100000,100000,[38]
30,71,100000,100000,"[35, 36, 39]"
31,178,100000,100000,[37]
32,222,100000,100000,"[40, 41, 42, 43]"
33,127,100000,89,[45]
34,40,80,100000,[46]
35,171,342,100000,[44]
36,53,100000,37,[]
37,128,100000,100000,[]
38,81,100000,100000,[47]
39,90,100000,100000,[]
40,30,60,100000,[]
41,113,100000,100000,[]
42,110,100000,77,[]
43,522,100000,365,[50]
44,544,100000,100000,[48]
45,322,644,100000,[49]
46,70,100000,49,[]
47,182,364,100000,[]
48,521,100000,100000,[]
49,89,100000,100000,[]
50,199,100000,139,[]
